변동사유발생연월일,구분,업체명
2015.1.2,휴업,(주)유림에너지 대기주유소
2015.1.5,신규등록,광나는 주유소
2015.1.5,폐업,㈜소모석유 상무제일주유소
2015.1.5,휴업,활주로주유소
2015.1.6,신규등록,남상주농협주유소
2015.1.6,휴업,팔공산한마음주유소
2015.1.6,휴업,태양주유소
2015.1.6,휴업,몽촌주유소
2015.1.6,폐업,쇄노재주유소
2015.1.6,휴업,삽교호주유소
2015.1.7,휴업,드림(하나)주유소
2015.1.7,휴업,남광석유판매㈜ 직영 중동주유소
2015.1.7,휴업,광남주유소
2015.1.7,휴업,남부안농민회주유소
2015.1.7,휴업,청산주유소
2015.1.8,휴업,종합주유소
2015.1.9,휴업,세화주유소
2015.1.9,신규등록,능주농협주유소
2015.1.12,휴업,SK네트웍스㈜ 옥천주유소
2015.1.12,폐업,세화주유소
2015.1.12,폐업,해피데이주유소
2015.1.12,휴업,우리동네주유소
2015.1.12,폐업,만남의주유소
2015.1.12,휴업,중앙주유소
2015.1.13,휴업,항만주유소
2015.1.13,폐업,고려주유소
2015.1.13,신규등록,현대석문공단주유소
2015.1.14,휴업,열가재제3주유소
2015.1.14,휴업,공주대주유소
2015.1.15,폐업,강변주유소
2015.1.15,휴업,오성주유소
2015.1.16,휴업,만땅주유소
2015.1.16,폐업,중앙주유소
2015.1.16,휴업,연세석유안성동아대셀프주유소
2015.1.16,휴업,효재주유소
2015.1.16,폐업,광해주유소
2015.1.19,휴업,동성종합상사도개주유소
2015.1.19,휴업,태전착한주유소
2015.1.19,폐업,우송주유소
2015.1.20,폐업,설매주유소
2015.1.20,폐업,만남주유소
2015.1.20,신규등록,청남셀프주유소
2015.1.20,휴업,도리원주유소
2015.1.20,휴업,영일고속주유소
2015.1.20,폐업,좋은기름나라주유소
2015.1.20,휴업,씨앤에스에너지(주)온산공단주유소
2015.1.20,폐업,㈜용현주유소
2015.1.20,휴업,한송주유소
2015.1.21,휴업,동양주유소
2015.1.21,휴업,대경주유소
2015.1.21,신규등록,천봉주유소
2015.1.22,휴업,북방주유소
2015.1.22,휴업,GS칼텍스㈜ 직영 대유점
2015.1.22,휴업,의성주유소
2015.1.22,휴업,목화주유소
2015.1.22,폐업,소호주유소
2015.1.23,휴업,다압주유소
2015.1.23,신규등록,능주농협주유소
2015.1.23,휴업,일월주유소
2015.1.23,휴업,강변주유소
2015.1.24,휴업,삼정주유소
2015.1.28,폐업,영목주유소
2015.1.28,휴업,대웅에너지주유소
2015.1.28,폐업,호남제2주유소
2015.1.28,신규등록,전주나들목주유소
2015.1.29,신규등록,안덕하나주유소
2015.1.30,휴업,곰돌이주유소
2015.1.30,폐업,흥구석유㈜ 흥구중산주유소
2015.1.30,휴업,푸른별주유소
2015.1.30,휴업,비인주유소
2015.1.30,신규등록,㈜좋은에너지
2015.2.2,휴업,터널주유소
2015.2.2,신규등록,KH에너지㈜직영 양주주유소(일산방향)
2015.2.2,휴업,꿈동산주유소
2015.2.2,신규등록,송도행복주유소
2015.2.2,휴업,한동주유소
2015.2.2,휴업,㈜대천에너지
2015.2.3,휴업,상승주유소
2015.2.3,폐업,선진주유소
2015.2.3,폐업,은경주유소
2015.2.3,휴업,㈜원흥 광주지점
2015.2.3,신규등록,㈜OS에너지부전주유소
2015.2.3,폐업,둔촌주유소
2015.2.3,폐업,인보주유소
2015.2.3,휴업,현우주유소
2015.2.3,휴업,공주대주유소
2015.2.4,휴업,제이앤비코리아㈜ 천지주유소
2015.2.5,폐업,세영주유소
2015.2.5,신규등록,금곡농협주유소
2015.2.5,폐업,태광주유소
2015.2.5,폐업,장산주유소
2015.2.5,휴업,동구주유소
2015.2.5,신규등록,하늘빛주유소
2015.2.6,신규등록,미래로self주유소
2015.2.6,폐업,유신주유소
2015.2.6,휴업,미래주유소
2015.2.9,휴업,돈방석주유소
2015.2.9,폐업,삼성주유소
2015.2.9,휴업,한겨레주유소
2015.2.10,휴업,㈜제이케이에너지 송전IC주유소
2015.2.10,신규등록,세종행복 새롬점&버거킹
2015.2.10,휴업,예일주유소
2015.2.10,휴업,박물관주유소
2015.2.10,휴업,짱구주유소
2015.2.10,휴업,신덕주유소
2015.2.11,폐업,이화주유소
2015.2.11,폐업,현대오일뱅크㈜직영 태윤주유소
2015.2.11,폐업,㈜안국에너지 유성주유소
2015.2.11,휴업,광석동주유소
2015.2.11,휴업,금호주유소
2015.2.11,휴업,곡강주유소
2015.2.11,휴업,기장연곡주유소
2015.2.11,폐업,햇살주유소
2015.2.11,폐업,(유)나들목주유소
2015.2.11,휴업,대영석유
2015.2.12,휴업,고단주유소
2015.2.12,휴업,남산주유소
2015.2.12,폐업,태양해상급유㈜
2015.2.12,휴업,거성석유㈜
2015.2.13,휴업,문덕화물제2주유소
2015.2.13,휴업,수색제일주유소
2015.2.16,폐업,치악파크주유소
2015.2.16,휴업,할렐루야주유소
2015.2.16,폐업,강변북로주유소
2015.2.16,휴업,연평주유소
2015.2.16,등록취소,중앙제3주유소
2015.2.16,휴업,성원주유소
2015.2.16,휴업,서양새마을금고주유소
2015.2.16,폐업,대성산업㈜ 노원대성주유소
2015.2.16,폐업,대진주유소
2015.2.17,폐업,부곡주유소
2015.2.17,신규등록,태현마린㈜
2015.2.23,폐업,해동주유소
2015.2.23,폐업,행주주유소
2015.2.23,폐업,한진주유소
2015.2.23,폐업,고척주유소
2015.2.23,휴업,장백주유소
2015.2.24,휴업,하일라주유소
2015.2.24,폐업,하나주유소
2015.2.24,폐업,부영주유소
2015.2.24,휴업,GS칼텍스㈜ 인천공항점
2015.2.24,폐업,세일주유소
2015.2.24,휴업,춘장대IC주유소
2015.2.25,휴업,대청봉주유소
2015.2.25,휴업,㈜최강에너지본점
2015.2.25,폐업,사천주유소
2015.2.25,휴업,평촌주유소
2015.2.25,휴업,줄포관광주유소
2015.2.26,등록취소,장안주유소
2015.2.26,폐업,미송주유소
2015.2.27,휴업,진고개주유소
2015.2.27,휴업,믿음가득주유소
2015.2.27,휴업,남양주유소
2015.2.27,휴업,OK주유소
2015.2.27,폐업,연안주유소
2015.3.2,등록취소,금강주유소
2015.3.2,휴업,검창주유소
