충전소이름,이용가능시간,자세한 위치,주차비,등록일자
역삼래미안,24시간,지하2층 107동 3-4라인,부가정보없음,2017.12.26 17:53
현대까르띠에710아파트,24시간,지하주차장 진입 후 바로 좌측,부가정보없음,2017.12.26 17:53
여의도 은하,부가정보없음,지상,부가정보없음,2017.12.26 17:53
열매마을5단지,24시간,지하주차장,부가정보없음,2017.12.26 17:53
서진아파트,24시간,지하1층주차장,0,2017.12.26 17:53
팜스프링아파트,24시간,119동 지하3층 B33,0,2017.12.26 17:53
홍제힐스테이트,24시간,107동 지하2층주차장,무료,2017.12.26 17:53
길음래미안3차,24시간,"610동 지하3층 1,2호",거주민 전용,2017.12.26 17:53
신내우디안2단지아파트,부가정보없음,부가정보없음,부가정보없음,2017.12.26 17:53
호성동LG동아,24시간  ※외부인 개방,110동 지하 주차장,0,2017.8.25 0:00
정릉e편한세상 아파트,24시간,B1층 109동 3-4호 A04기둥,거주민전용,2017.7.9 0:00
남산센트럴자이,24시간,지하7층 주차장,없음,2017.7.9 0:00
옥계면사무소,09시~18시,면사무소 주차장,무료,2017.9.19 16:25
kcc스위첸아파트,24시간,B2F B64,0,2017.7.4 0:00
상면사무소,24시간,지상주차장,무료,2017.9.19 16:25
신정마을성지아파트,24시간,B1F 나45,부가정보없음,2017.11.29 16:52
호수공원아파트,24시간,B1F 다5 123,0,2017.7.4 0:00
도안6단지센트럴시티,24시간,지하주차장,부가정보없음,2017.11.30 17:08
안양경남아너스빌아파트,24시간  ※외부인 개방,B1F,무료,2017.8.12 0:00
정선군청,24시간,군청옆 지상주차장,부가정보없음,2017.11.14 18:34
우림필유골드154,24시간,102동 B1F 36,0,2017.8.12 0:00
숲속마을주공6단지아파트,24시간,"608동,607동 사이 지하주차장(왼쪽)",0,2017.12.26 17:53
목동2차우성아파트,06~23시,213동 앞 주차장 지하1층,관리사무소,2017.12.26 17:53
덕소쌍용아파트,24시간  ※외부인 개방,지하1층 주차장C 출구 앞,0,2017.12.26 17:53
신도림4차e편한세상,부가정보없음,지하1층,부가정보없음,2017.12.26 17:53
우정혁신LH2단지,24시간,206동 B1 02,무료,2017.12.26 17:53
판교원한림풀에버,부가정보없음,지하,부가정보없음,2017.12.26 17:53
롯데캐슬피렌체아파트,24시간,지하3층 101동 1-4라인부근,무료,2017.12.26 17:53
연꽃태평아파트1단지,24시간,지하1층 주차장,부가정보없음,2017.12.26 17:53
송도푸르지오월드마크2단지,24시간,지하1층 H1,부가정보없음,2017.12.26 17:53
마포트라팰리스2차,24시간,지하주차장 4층,부가정보없음,2017.12.26 17:53
LH호평1단지,24시간  ※외부인 개방,지하1층 전기실 앞,0,2017.12.26 17:53
신도10차파크힐타운아파트,24시간,106동 지하주차장 1층 좌측,부가정보없음,2017.12.26 17:53
매포읍사무소,24시간,주차장 좌측 안쪽,무료,2017.11.17 9:29
을숙도 공영주차장,24시간,을숙도 공원내 테니스장 주차장,"1시간 무료, 초과시 50%할인",2017.11.17 9:29
맹동면사무소,24시간,지상주차장,부가정보없음,2017.11.17 9:29
대원파크빌 아파트,24시간  ※외부인 개방,경비실 정문 뒤쪽,없음,2017.8.25 0:00
대곡역화성파크드림위드,24시간,지하2층주차장(106동 12라인),0,2017.8.12 0:00
래미안상도3차아파트,24,지하2층 328동 12호,관리사무소,2017.10.27 11:58
부산 중구청,주중/주말 : 09시~18시(정문요청,주차장 진입후 주차빌딩 옆 우측 주차면,충전시 주차비 50%할인,2017.2.27 0:00
한림풀에버 아파트,24시간,109동앞 지하1층주차장 들어가 105동왼쪽편,무료,2017.8.25 0:00
래미안서초7차 아파트,24시간,"지하주차장/B1-101동 1,2호라인",부가정보없음,2017.7.4 0:00
용암덕성그린아파트,24시간  ※외부인 개방,105동앞 지하주차장,부가정보없음,2017.11.29 16:53
롯데캐슬레이크,24시간  ※외부인 개방,지하3층주차장(105-108동 사이),0,2017.8.12 0:00
새터마을푸르지오,미개방,B1F 29,부가정보없음,2017.12.15 13:10
마평라이프아파트,24시간  ※외부인 개방,B1F,0,2017.12.15 13:21
미사강변센트리버,24시간,지하1층 주차장,입주민 전용,2017.8.12 0:00
서북병원,24시간,지상주차장,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2017.11.17 9:29
용마아파트,24시간  ※외부인 개방,지상주차장(102동 북측),회원카드만 결제가능,2017.11.29 16:53
벽산e-솔렌스힐2차,24시간  ※외부인 개방,입구정면 실내주차장 A25기둥,0,2017.10.27 11:58
한국타이어 한남점,주중/주말 : 24시간,한국타이어 한남점 사무실 앞,주차비 없음,2017.2.27 0:00
산남부영사랑으로,24시간  ※외부인 개방,"지하주차장(108동 3,4라인 앞)",부가정보없음,2017.8.25 0:00
고척스카이돔,24시간,지하주차장옆 비상도로(지상),부가정보없음,2018.2.14 14:53
수성패밀리파크,주중/주말 : 24시간,지상주차장,주차비 없음,2017.1.16 0:00
강릉축협 하나로마트,24시간,강릉축협하나로마트 지상주차장,충전시 무료,2017.9.19 16:25
이마트 태백점,영업시간,이마트 태백점 2층 주차장,없음,2017.9.19 16:25
이마트 동해점,10~22시,지상3층 주차장,무료,2017.9.19 16:25
이마트 충주점,10~23시,4층주차장 우측,부가정보없음,2017.9.19 16:25
홈플러스 대전가오점,홈플러스 영업시간 기준,지하주차장,부가정보없음,2017.9.19 16:25
홈플러스 계룡점,10:00 ~ 24:00,지하주차장,0,2017.9.19 16:25
백두대간 생태교육관,24시간,생태교육장 주차장 화장실 옆,부가정보없음,2017.9.19 16:25
테크노파크,24시간,부가정보없음,부가정보없음,2017.11.17 8:44
송도 그린애비뉴 7단지,24시간,지하2층 703동,부가정보없음,2017.11.17 10:39
동천체육관 주차장,24시간,동천체육관 동편 출구앞,"1시간 무료, 초과시 50%할인",2017.11.29 15:39
벡스코 제2전시장 지하주차장,24시간,지하주차장,1시간 면제,2017.11.29 15:39
동천동주민센터,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
본오도서관 뒤,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
성포안산농협뒤,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
이동읍사무소,24시간,지상주차장,0,2017.11.17 9:29
아르피아주차장,24시간,B1F 34,부가정보없음,2017.11.17 9:29
신봉동주민센터,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
수원종합운동장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
곡반정동제2공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
세류역환승주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
거류체육공원 주차장,24시간,지상주차장,"1시간 무료, 초과시 주차요금의 50%할인",2017.11.17 9:29
교1동주민센터,24시간,주민센터 지상주차장,무료,2017.11.14 18:34
홍제동 공영주차장,24시간,지상 공영주차장,무료,2017.11.14 18:34
주문진해수욕장,24시간,주문진해수욕장 지상주차장,무료,2017.11.14 18:34
용평리조트,24시간,그린변전실 앞 지상주차장,무료,2017.11.14 18:34
강원랜드,24시간,컨밴션 호텔 정문앞,0,2017.11.14 18:34
화개장터 주차장,24시간,1동앞 지상주차장,공영주차장,2017.11.17 9:29
수동공영주차장,24시간,공중화장실 뒤 지상주차장,0,2017.11.17 9:29
2생활권 환승주차장2(B),24시간,지하주차장,15분에 80원(전기차),2017.11.17 9:29
홈플러스 센텀시티점,10:00 ~ 24:00,고객주차장내 4층 B구역,1시간 면제,2017.11.17 9:29
울산병원앞공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
서원구청,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
종암SK아파트,부가정보없음,지하주차장 1층,부가정보없음,2017.11.29 16:53
마곡수명산파크7단지,06~23시,지하1층 좌측 끝,없음,2017.11.29 16:53
양덕삼구트리니엔1차,24시간  ※외부인 개방,지하 1층 B33구역,무료,2017.11.29 16:53
복현명문세가2단지,24시간  ※외부인 개방,203동 지하2층 주차장,부가정보없음,2017.11.29 16:53
도안7단지예미지아파트,24시간,지하주차장,부가정보없음,2017.11.29 16:53
메가센텀꿈에그린아파트,24시간,지하주차장,무료,2017.11.29 16:53
푸른마을10단지,24시간,지하,부가정보없음,2017.11.29 16:53
구월아시아드선수촌6단지,24시간,지하1층 16번기둥 602동옆,부가정보없음,2017.11.29 16:53
리첸시아방배,24시간,B4-06,부가정보없음,2017.11.29 16:53
중계건영3차아파트,24시간  ※외부인 개방,306동 앞 지하1층 B9,부가정보없음,2017.11.29 16:53
매탄주공그린빌2단지,24시간,204동 앞 B2F,0,2017.11.29 16:53
한일써너스빌 아파트,24시간,"지하1층 주차장 102동 1,3라인 앞",부가정보없음,2017.11.29 16:53
목동힐스테이트아파트,06~23시,지하2층 115동 앞,관리사무소,2017.11.29 16:53
금빛마을현대아파트,24시간,103동 지하주차장,무료,2017.11.29 16:53
성대역환승주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
산청실내체육관주차장,24시간,체육관건물 오른쪽 지상주차장,무료,2017.11.17 9:29
둔촌푸르지오아파트,미개방,지하1층 101동 C61 기둥,관리사무소,2017.11.29 16:53
반월역환승,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
합천영상테마파크,24시간,푸드직매장 지상주차장(주소: 용주면 가호리 418),무료,2017.11.17 9:29
신갈동주민센터,09:00-18:00,B2F 19,부가정보없음,2017.11.17 9:29
금촌주공뜨란채4단지,부가정보없음,지하,부가정보없음,2017.12.6 17:29
호평6단지 휴먼시아,24시간  ※외부인 개방,"지하1층 604,605동 방향 전기실",0,2017.12.6 17:29
송산주공6단지,24시간,"601동 주차장 , 출입구 쪽",부가정보없음,2017.12.6 17:29
장암주공5단지,24시간,511동 지하주차장 P4구역,부가정보없음,2017.12.6 17:29
수완진아리채2차아파트,24시간,(실내지하)지하 주차장(B26),무료,2017.12.6 17:29
도램마을16단지,24시간,지하주차장,부가정보없음,2017.12.6 17:29
대자연마을아파트,24시간,입구 우측지하주차장,0,2017.12.6 17:29
양산평산삼한사랑채2차아파트,부가정보없음,지하,부가정보없음,2017.12.6 17:29
새뜸마을3단지,24시간,지하주차장,부가정보없음,2017.12.6 17:29
블루마시티1차 푸르지오,24시간,104동 지하주차장,무료,2017.12.6 17:29
죽동푸르지오아파트,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.12.6 17:29
신정숲속마을아파트,06~23시,지하1층 우측 중간,관리사무소,2017.12.6 17:29
신대부적2차부영아파트,24시간  ※외부인 개방,201동 지하주차장,무료,2017.12.6 17:29
