Indicator,ParentLocation,Location,Period,FactValueNumeric
Generalist medical practitioners (number),Africa,Chad,2022,1197
Generalist medical practitioners (number),Africa,Mauritius,2022,1207
Generalist medical practitioners (number),Europe,Austria,2022,13214
Generalist medical practitioners (number),Africa,Namibia,2022,1336
Generalist medical practitioners (number),South-East Asia,Indonesia,2022,145493
Generalist medical practitioners (number),Africa,Benin,2022,1753
Generalist medical practitioners (number),Africa,Democratic Republic of the Congo,2022,18493
Generalist medical practitioners (number),Africa,Equatorial Guinea,2022,182
Generalist medical practitioners (number),Africa,Cabo Verde,2022,187
Generalist medical practitioners (number),Africa,Mozambique,2022,1933
Generalist medical practitioners (number),Africa,Zimbabwe,2022,2032
Generalist medical practitioners (number),Europe,Iceland,2022,219
Generalist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2022,23804
Generalist medical practitioners (number),Africa,Burkina Faso,2022,2372
Generalist medical practitioners (number),Africa,Cameroon,2022,2467
Generalist medical practitioners (number),Africa,Eritrea,2022,260
Generalist medical practitioners (number),South-East Asia,Bhutan,2022,263
Generalist medical practitioners (number),Africa,Lesotho,2022,281
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2022,29306
Generalist medical practitioners (number),Americas,Chile,2022,29586
Generalist medical practitioners (number),Americas,Peru,2022,29900
Generalist medical practitioners (number),Europe,Georgia,2022,3075
Generalist medical practitioners (number),Europe,Montenegro,2022,315
Generalist medical practitioners (number),Africa,Niger,2022,316
Generalist medical practitioners (number),Africa,Togo,2022,331
Generalist medical practitioners (number),Africa,Ghana,2022,3344
Generalist medical practitioners (number),Africa,Sierra Leone,2022,338
Generalist medical practitioners (number),Africa,Kenya,2022,3544
Generalist medical practitioners (number),Africa,Mali,2022,3557
Generalist medical practitioners (number),Africa,Guinea-Bissau,2022,428
Generalist medical practitioners (number),Africa,Cote d'Ivoire,2022,4412
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2022,4657
Generalist medical practitioners (number),Africa,Zambia,2022,4709
Generalist medical practitioners (number),Africa,Angola,2022,4778
Generalist medical practitioners (number),Europe,Italy,2022,48137
Generalist medical practitioners (number),Americas,Canada,2022,48199
Generalist medical practitioners (number),Americas,El Salvador,2022,5202
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2022,54624
Generalist medical practitioners (number),Africa,Seychelles,2022,57
Generalist medical practitioners (number),Americas,Uruguay,2022,6063
Generalist medical practitioners (number),Africa,Gabon,2022,612
Generalist medical practitioners (number),Africa,Mauritania,2022,616
Generalist medical practitioners (number),Africa,Eswatini,2022,623
Generalist medical practitioners (number),Africa,Uganda,2022,6369
Generalist medical practitioners (number),Western Pacific,New Zealand,2022,6478
Generalist medical practitioners (number),Africa,United Republic of Tanzania,2022,6701
Generalist medical practitioners (number),Africa,Senegal,2022,703
Generalist medical practitioners (number),Africa,Congo,2022,787
Generalist medical practitioners (number),Americas,Costa Rica,2022,7980
Generalist medical practitioners (number),Americas,Barbados,2022,820
Generalist medical practitioners (number),Africa,Liberia,2022,840
Generalist medical practitioners (number),Africa,Malawi,2022,843
Generalist medical practitioners (number),Africa,Nigeria,2022,85719
Generalist medical practitioners (number),Africa,Ethiopia,2022,8860
Generalist medical practitioners (number),Africa,Botswana,2022,899
Generalist medical practitioners (number),Europe,Israel,2022,9624
Generalist medical practitioners (number),Americas,Bolivia (Plurinational State of),2021,10089
Generalist medical practitioners (number),Europe,Israel,2021,10471
