소재지전체주소,도로명전체주소,사업장명,의료기관종별명,의료인수,입원실수,병상수,진료과목내용명
경상남도 사천시 사천읍 선인리 313번지 1호,"경상남도 사천시 사천읍 옥산로 127, 3~7층",의료법인 행복한의료재단 사천중앙요양병원,요양병원(일반요양병원),23,55,261,"내과, 신경과, 정형외과, 산부인과, 재활의학과, 가정의학과, 한방내과, 침구과"
경상남도 사천시 사천읍 정의리 36번지 5호,경상남도 사천시 사천읍 구암두문로 74,사천동희병원,정신병원,18,42,232,정신건강의학과
경상남도 사천시 서동 72번지 1호,"경상남도 사천시 각산로 86 (서동, 미진예식장)",의료법인 삼포의료재단 현대요양병원,요양병원(일반요양병원),21,31,175,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
경상남도 양산시 주진동 347-1,경상남도 양산시 모래들1길 91 (주진동),양산병원,정신병원,36,118,475,"내과, 신경과, 정신건강의학과"
경상남도 창녕군 고암면 중대리 235번지 1호 더케이서드에이지,"경상남도 창녕군 고암면 상대2길 16, 더케이서드에이지",프라임요양병원,요양병원(일반요양병원),11,45,194,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 안과, 이비인후과, 피부과, 비뇨의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 사상체질과, 침구과"
,경상남도 창녕군 창녕읍 창녕대로 122,의료법인창녕서울의료재단창녕서울병원,병원,21,24,83,"내과, 정형외과, 비뇨의학과, 가정의학과"
,"충청북도 청주시 청원구 충청대로 98-0 (율량동,한길빌딩)",서로손병원,병원,15,38,116,"내과, 재활의학과, 가정의학과"
경상남도 사천시 향촌동 441번지 5호,"경상남도 사천시 향촌4길 127 (향촌동, 한마음병원)",의료법인 덕산의료재단 한마음병원,정신병원,31,98,369,"내과, 정신건강의학과, 영상의학과, 가정의학과"
경상남도 사천시 축동면 가산리 450번지 1호,경상남도 사천시 축동면 서삼로 1110-35,의료법인 순영의료재단 순영병원,정신병원,20,40,178,"정신건강의학과, 마취통증의학과"
경상남도 사천시 축동면 가산리 447번지 2호,경상남도 사천시 축동면 서삼로 1110-35,의료법인 행복한의료재단 경남도립사천노인전문병원,요양병원(일반요양병원),28,50,227,"내과, 신경과, 외과, 신경외과, 산부인과, 재활의학과, 가정의학과, 한방내과"
,경상남도 사천시 남일로 33 (동금동),의료법인승연의료재단 삼천포서울병원,병원,163,110,304,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과"
경상남도 사천시 벌리동 461번지 7호 삼천포제일병원,"경상남도 사천시 중앙로 136, 삼천포제일병원 (벌리동)",삼천포제일병원,병원,80,66,214,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 영상의학과, 응급의학과"
경상남도 사천시 사천읍 평화리 1번지 15호,경상남도 사천시 사천읍 선평길 17 (서울아동병원),사천서울아동병원,병원,9,20,42,"내과, 소아청소년과, 이비인후과, 피부과"
경상남도 사천시 향촌동 441번지 5호,경상남도 사천시 향촌4길 127 (향촌동),의료법인 덕산의료재단 한마음노인요양병원,요양병원(일반요양병원),18,51,283,"내과, 신경과, 마취통증의학과, 가정의학과, 한방부인과"
충청남도 서천군 서천읍 사곡리 289번지 1호,충청남도 서천군 서천읍 서천로 184,의료법인 서해병원,병원,18,22,79,"내과, 외과, 산부인과, 영상의학과, 가정의학과"
충청남도 서천군 판교면 판교리 407번지 1호,충청남도 서천군 판교면 대백제로 2078,서천사랑병원,정신병원,9,29,148,"내과, 정신건강의학과"
,충청남도 서천군 서천읍 삼산북길 56,서천요양병원,요양병원(일반요양병원),19,45,199,"내과, 외과, 정형외과, 이비인후과, 피부과, 한방내과"
,충청남도 보령시 남대천로 14 (대천동),통합요양병원,요양병원(일반요양병원),8,19,91,"내과, 이비인후과, 피부과, 비뇨의학과, 가정의학과, 침구과"
충청남도 보령시 궁촌동 156-12,충청남도 보령시 대해로 52 (궁촌동),신제일병원,병원,5,31,110,"내과, 외과, 정형외과"
충청남도 서천군 마서면 어리 191번지 1호,충청남도 서천군 마서면 어리길 205-7,서천한국요양병원,요양병원(일반요양병원),22,54,205,"내과, 외과, 정형외과, 산부인과, 병리과, 가정의학과, 한방내과"
,"충청남도 서천군 화양면 활산로 245, 동서천요양병원",동서천요양병원,요양병원(일반요양병원),9,26,96,"내과, 외과, 정형외과, 이비인후과, 피부과, 한방내과, 한방신경정신과, 사상체질과, 침구과"
,충청남도 보령시 옥마로 277 (화산동),보령엘피스병원,정신병원,12,35,180,정신건강의학과
