year,predicted_doctors,predicted_graduates,predicted_demand,new_predicted_doctors,new_graduates,required_increase
2022,127665,3816,112821.88921875037,127665.0,3816,0
2023,124994,3816,112902.38028165734,124994.0,3816,0
2024,122459,3816,112987.08525694626,122459.0,3816,0
2025,120052,3816,112843.73953304025,120052.0,3816,0
2026,117768,3816,112680.70905813698,117768.0,3816,0
2027,115600,3816,112519.40524960168,115600.0,3816,0
2028,113542,3816,112357.68240028954,113542.0,3816,0
2029,111589,3816,112193.34140804815,111589.0,3816,0
2030,109735,3816,112023.55724456288,109735.0,3816,0
2031,107975,3816,111844.8945298661,107975.0,3816,0
2032,106305,3816,111654.10192109959,106305.0,3816,0
2033,104719,3816,111448.87091618784,104719.0,3816,1121
2034,103214,3816,111225.62301878296,103214.0,3816,1148
2035,101785,3816,110980.72842236714,101785.0,3816,1154
2036,100429,3816,110712.69451061959,100429.0,3816,1143
2037,99142,3816,110421.06332965558,99142.0,3816,1118
2038,97920,3816,110095.69919048989,97920.0,3816,1081
2039,96760,3816,109727.61904521704,97881.0,4937,1033
2040,95659,3816,109318.30250308766,97871.0,4964,1163
2041,94614,3816,108867.22102302076,97868.0,4970,1260
2042,93622,3816,108375.3747402251,97854.0,4959,1325
2043,92681,3816,107843.2108600893,97816.0,4934,1363
2044,91788,3816,107270.06633089851,97743.0,4897,1376
2045,90940,3816,106654.98046334367,97625.0,4849,1365
2046,90135,3816,105995.03297519633,97643.0,4979,1334
2047,89371,3816,105288.78332474623,97758.0,5076,1315
2048,88646,3816,104535.2885206391,97932.0,5141,1301
2049,87958,3816,103733.70274039639,98135.0,5179,1286
2050,87305,3816,102884.2303405727,98341.0,5192,1267
2051,86685,3816,101989.45426508898,98525.0,5181,1239
2052,86096,3816,101050.12642993269,98669.0,5150,1202
2053,85537,3816,100067.04550550511,98786.0,5131,1153
2054,85007,3816,99044.24274924878,98883.0,5117,1098
2055,84504,3816,97987.0030391818,98961.0,5102,1039
2056,84026,3816,96901.65289610346,99016.0,5083,979
2057,83573,3816,95792.42248254655,99040.0,5055,918
2058,83143,3816,94663.04993550763,99026.0,5018,855
2059,82734,3816,93520.07803135809,98963.0,4969,790
2060,82346,3816,92369.70193454549,98848.0,4914,0
2061,81978,3816,91215.8110795037,98680.0,4855,776
2062,81629,3816,90061.85713495938,98461.0,4795,0
2063,81297,3816,88912.18241998713,98192.0,4734,0
2064,80982,3816,87769.84176605724,97874.0,4671,0
2065,80683,3816,86636.81237910614,97507.0,4606,731
2066,80399,3816,85514.57424288295,96368.0,3816,0
2067,80130,3816,84404.7955942513,96063.0,4592,0
2068,79875,3816,83308.21007598311,94998.0,3816,0
2069,79632,3816,82223.96527905736,93987.0,3816,0
2070,79402,3816,81152.53360837205,93027.0,3816,0
2071,79184,3816,80095.2194155511,92847.0,4547,0
2072,78977,3816,79051.58554103457,91945.0,3816,0
