year,category,subcategory,population
2022,성별,남성,25818686
2022,성별,여성,25853883
2022,연령,15-19세,2287873
2022,연령,15세 미만,5947964
2022,연령,20-29세,6734021
2022,연령,30-39세,6872945
2022,연령,40-49세,8097011
2022,연령,50-59세,8603509
2022,연령,60세 이상,13129246
2023,성별,남성,25859888
2023,성별,여성,25852731
2023,연령,15-19세,2301077
2023,연령,15세 미만,5705235
2023,연령,20-29세,6548381
2023,연령,30-39세,6874383
2023,연령,40-49세,7993159
2023,연령,50-59세,8596363
2023,연령,60세 이상,13694021
2024,성별,남성,25876776
2024,성별,여성,25874289
2024,연령,15-19세,2272843
2024,연령,15세 미만,5485245
2024,연령,20-29세,6372432
2024,연령,30-39세,6913023
2024,연령,40-49세,7852297
2024,연령,50-59세,8705899
2024,연령,60세 이상,14149326
2025,성별,남성,25837903
2025,성별,여성,25846661
2025,연령,15-19세,2267007
2025,연령,15세 미만,5258466
2025,연령,20-29세,6136764
2025,연령,30-39세,6975568
2025,연령,40-49세,7717016
2025,연령,50-59세,8660370
2025,연령,60세 이상,14669373
2026,성별,남성,25795052
2026,성별,여성,25814069
2026,연령,15-19세,2309228
2026,연령,15세 미만,4996251
2026,연령,20-29세,5887622
2026,연령,30-39세,7037580
2026,연령,40-49세,7624180
2026,연령,50-59세,8586606
2026,연령,60세 이상,15167654
2027,성별,남성,25753184
2027,성별,여성,25781367
2027,연령,15-19세,2323747
2027,연령,15세 미만,4753757
2027,연령,20-29세,5678166
2027,연령,30-39세,7096790
2027,연령,40-49세,7530657
2027,연령,50-59세,8508537
2027,연령,60세 이상,15642897
2028,성별,남성,25711849
2028,성별,여성,25748028
2028,연령,15-19세,2301322
2028,연령,15세 미만,4530789
2028,연령,20-29세,5510243
2028,연령,30-39세,7152255
2028,연령,40-49세,7417118
2028,연령,50-59세,8417195
2028,연령,60세 이상,16130955
2029,성별,남성,25670259
2029,성별,여성,25713793
2029,연령,15-19세,2285032
2029,연령,15세 미만,4345056
2029,연령,20-29세,5341561
2029,연령,30-39세,7158328
2029,연령,40-49세,7309393
2029,연령,50-59세,8247351
2029,연령,60세 이상,16697331
2030,성별,남성,25627273
2030,성별,여성,25678440
2030,연령,15-19세,2283155
2030,연령,15세 미만,4159934
2030,연령,20-29세,5157518
2030,연령,30-39세,7156565
2030,연령,40-49세,7147423
2030,연령,50-59세,8195954
2030,연령,60세 이상,17205164
2031,성별,남성,25581979
2031,성별,여성,25641290
2031,연령,15-19세,2233375
2031,연령,15세 미만,3993899
2031,연령,20-29세,5033671
2031,연령,30-39세,7120835
2031,연령,40-49세,6992475
2031,연령,50-59세,8113146
2031,연령,60세 이상,17735868
2032,성별,남성,25533877
2032,성별,여성,25601388
2032,연령,15-19세,2148742
2032,연령,15세 미만,3876887
2032,연령,20-29세,4984262
2032,연령,30-39세,6943443
2032,연령,40-49세,6893909
2032,연령,50-59세,8069202
2032,연령,60세 이상,18218820
2033,성별,남성,25482355
2033,성별,여성,25558277
2033,연령,15-19세,2035900
2033,연령,15세 미만,3801329
2033,연령,20-29세,4956844
2033,연령,30-39세,6728271
2033,연령,40-49세,6857110
2033,연령,50-59세,7974645
2033,연령,60세 이상,18686533
2034,성별,남성,25426558
2034,성별,여성,25511168
2034,연령,15-19세,1923663
2034,연령,15세 미만,3755890
2034,연령,20-29세,4904152
2034,연령,30-39세,6522984
2034,연령,40-49세,6877072
2034,연령,50-59세,7828682
2034,연령,60세 이상,19125283
2035,성별,남성,25365537
2035,성별,여성,25459331
2035,연령,15-19세,1777168
2035,연령,15세 미만,3739052
2035,연령,20-29세,4896960
2035,연령,30-39세,6288126
2035,연령,40-49세,6941518
2035,연령,50-59세,7698412
2035,연령,60세 이상,19483632
2036,성별,남성,25299055
2036,성별,여성,25402334
2036,연령,15-19세,1623231
2036,연령,15세 미만,3743345
2036,연령,20-29세,4889811
2036,연령,30-39세,6039278
2036,연령,40-49세,7005331
2036,연령,50-59세,7609566
2036,연령,60세 이상,19790827
2037,성별,남성,25226848
2037,성별,여성,25340209
2037,연령,15-19세,1497998
2037,연령,15세 미만,3763572
2037,연령,20-29세,4820602
2037,연령,30-39세,5829714
2037,연령,40-49세,7066092
2037,연령,50-59세,7519787
2037,연령,60세 이상,20069292
2038,성별,남성,25146147
2038,성별,여성,25271020
2038,연령,15-19세,1395564
2038,연령,15세 미만,3794900
2038,연령,20-29세,4686862
2038,연령,30-39세,5661773
2038,연령,40-49세,7123004
2038,연령,50-59세,7409897
2038,연령,60세 이상,20345167
2039,성별,남성,25055270
2039,성별,여성,25192387
2039,연령,15-19세,1305368
2039,연령,15세 미만,3834032
2039,연령,20-29세,4560020
2039,연령,30-39세,5493457
2039,연령,40-49세,7130696
2039,연령,50-59세,7305663
2039,연령,60세 이상,20618421
2040,성별,남성,24954651
2040,성별,여성,25104567
2040,연령,15-19세,1230266
2040,연령,15세 미만,3878751
2040,연령,20-29세,4413675
2040,연령,30-39세,5309909
2040,연령,40-49세,7130512
2040,연령,50-59세,7148047
2040,연령,60세 이상,20948058
2041,성별,남성,24844377
2041,성별,여성,25007260
2041,연령,15-19세,1174849
2041,연령,15세 미만,3918699
2041,연령,20-29세,4212444
2041,연령,30-39세,5186427
2041,연령,40-49세,7096367
2041,연령,50-59세,6997170
2041,연령,60세 이상,21265681
2042,성별,남성,24724984
2042,성별,여성,24900431
2042,연령,15-19세,1144832
2042,연령,15세 미만,3944160
2042,연령,20-29세,4005213
2042,연령,30-39세,5137521
2042,연령,40-49세,6920921
2042,연령,50-59세,6902424
2042,연령,60세 이상,21570344
2043,성별,남성,24596640
2043,성별,여성,24784126
2043,연령,15-19세,1139092
2043,연령,15세 미만,3956476
2043,연령,20-29세,3792533
2043,연령,30-39세,5110731
2043,연령,40-49세,6707394
2043,연령,50-59세,6868903
2043,연령,60세 이상,21805637
2044,성별,남성,24459520
2044,성별,여성,24657912
2044,연령,15-19세,1157207
2044,연령,15세 미만,3956797
2044,연령,20-29세,3592520
2044,연령,30-39세,5058678
2044,연령,40-49세,6503570
2044,연령,50-59세,6891593
2044,연령,60세 이상,21957067
2045,성별,남성,24313819
2045,성별,여성,24521212
2045,연령,15-19세,1194636
2045,연령,15세 미만,3946176
2045,연령,20-29세,3373377
2045,연령,30-39세,5051890
2045,연령,40-49세,6270187
2045,연령,50-59세,6958380
2045,연령,60세 이상,22040385
2046,성별,남성,24158908
2046,성별,여성,24373323
2046,연령,15-19세,1238645
2046,연령,15세 미만,3925472
2046,연령,20-29세,3166285
2046,연령,30-39세,5045115
2046,연령,40-49세,6022683
2046,연령,50-59세,7024674
2046,연령,60세 이상,22109357
2047,성별,남성,23994470
2047,성별,여성,24213904
2047,연령,15-19세,1277291
2047,연령,15세 미만,3895330
2047,연령,20-29세,3012802
2047,연령,30-39세,4976265
2047,연령,40-49세,5814195
2047,연령,50-59세,7087679
2047,연령,60세 이상,22144812
2048,성별,남성,23820596
2048,성별,여성,24042475
2048,연령,15-19세,1310016
2048,연령,15세 미만,3856154
2048,연령,20-29세,2905883
2048,연령,30-39세,4842639
2048,연령,40-49세,5647224
2048,연령,50-59세,7146679
2048,연령,60세 이상,22154476
2049,성별,남성,23636945
2049,성별,여성,23858969
2049,연령,15-19세,1336555
2049,연령,15세 미만,3808132
2049,연령,20-29세,2834609
2049,연령,30-39세,4715520
2049,연령,40-49세,5479756
2049,연령,50-59세,7156583
2049,연령,60세 이상,22164759
2050,성별,남성,23443302
2050,성별,여성,23663658
2050,연령,15-19세,1357147
