code,country,year,value
GNB,Guinea-Bissau,2022,10
CPV,Cabo Verde,2022,108
NZL,New Zealand,2022,11739
LBR,Liberia,2022,114
CMR,Cameroon,2022,1289
SWZ,Eswatini,2022,1289
GHA,Ghana,2022,1382
IRQ,Iraq,2022,14216
MWI,Malawi,2022,141
MNE,Montenegro,2022,1411
SEN,Senegal,2022,1485
BRB,Barbados,2022,15
UGA,Uganda,2022,1572
GBR,United Kingdom of Great Britain and Northern Ireland,2022,159663
BTN,Bhutan,2022,169
GEO,Georgia,2022,17942
KEN,Kenya,2022,1973
TZA,United Republic of Tanzania,2022,1992
ITA,Italy,2022,202676
ISR,Israel,2022,23934
PER,Peru,2022,25290
COG,Congo,2022,255
AUT,Austria,2022,27464
SLE,Sierra Leone,2022,28
GIN,Guinea,2022,296
NER,Niger,2022,298
TCD,Chad,2022,310
CHL,Chile,2022,32558
SYC,Seychelles,2022,346
MUS,Mauritius,2022,348
AGO,Angola,2022,3915
TGO,Togo,2022,399
IDN,Indonesia,2022,44486
ETH,Ethiopia,2022,4467
NGA,Nigeria,2022,462
SLV,El Salvador,2022,4631
CAN,Canada,2022,47821
OMN,Oman,2022,4763
MRT,Mauritania,2022,502
CIV,Cote d'Ivoire,2022,518
GAB,Gabon,2022,527
ZMB,Zambia,2022,534
CRI,Costa Rica,2022,5676
GNQ,Equatorial Guinea,2022,57
NAM,Namibia,2022,58
LSO,Lesotho,2022,66
ZWE,Zimbabwe,2022,676
MOZ,Mozambique,2022,756
SAU,Saudi Arabia,2022,81528
MLI,Mali,2022,845
BEN,Benin,2022,855
ISL,Iceland,2022,863
BWA,Botswana,2022,94
BFA,Burkina Faso,2022,951
URY,Uruguay,2022,9783
USA,United States of America,2021,1078271
ERI,Eritrea,2021,10
BFA,Burkina Faso,2021,1001
NZL,New Zealand,2021,11341
HRV,Croatia,2021,11411
NOR,Norway,2021,11879
GMB,Gambia,2021,113
GHA,Ghana,2021,1135
BWA,Botswana,2021,114
FRA,France,2021,121996
SEN,Senegal,2021,1220
TUR,Türkiye,2021,123270
IRQ,Iraq,2021,13810
ESP,Spain,2021,131634
BRB,Barbados,2021,14
SLV,El Salvador,2021,14977
MNE,Montenegro,2021,1417
GBR,United Kingdom of Great Britain and Northern Ireland,2021,158855
BTN,Bhutan,2021,169
GEO,Georgia,2021,17137
SUR,Suriname,2021,172
PER,Peru,2021,19379
ITA,Italy,2021,194142
KEN,Kenya,2021,1951
MEX,Mexico,2021,209288
ISR,Israel,2021,22049
PNG,Papua New Guinea,2021,220
BEL,Belgium,2021,23157
CHE,Switzerland,2021,23573
BGR,Bulgaria,2021,25439
HUN,Hungary,2021,25449
AUT,Austria,2021,26932
TCD,Chad,2021,260
PRT,Portugal,2021,28550
ETH,Ethiopia,2021,2813
CHL,Chile,2021,29804
DEU,Germany,2021,290745
COL,Colombia,2021,31386
CIV,Cote d'Ivoire,2021,328
LKA,Sri Lanka,2021,3296
EST,Estonia,2021,3412
PAN,Panama,2021,3428
CZE,Czechia,2021,35450
TGO,Togo,2021,357
NLD,Netherlands (Kingdom of the),2021,36316
CAF,Central African Republic,2021,4
MRT,Mauritania,2021,438
OMN,Oman,2021,4458
CAN,Canada,2021,46661
IDN,Indonesia,2021,48208
LVA,Latvia,2021,4880
AUS,Australia,2021,50341
ROU,Romania,2021,51949
BOL,Bolivia (Plurinational State of),2021,5237
SVN,Slovenia,2021,5383
GRC,Greece,2021,54726
CRI,Costa Rica,2021,5492
SAU,Saudi Arabia,2021,68333
LAO,Lao People's Democratic Republic,2021,690
MDA,Republic of Moldova,2021,7884
MOZ,Mozambique,2021,804
ISL,Iceland,2021,830
IRL,Ireland,2021,8513
BDI,Burundi,2021,87
LBR,Liberia,2021,87
NPL,Nepal,2021,8862
CMR,Cameroon,2021,897
GNB,Guinea-Bissau,2021,9
TKM,Turkmenistan,2021,9008
TUN,Tunisia,2021,9045
KOR,Republic of Korea,2021,94565
BEN,Benin,2021,958
POL,Poland,2021,96484
URY,Uruguay,2021,9631
LTU,Lithuania,2021,9662
PLW,Palau,2020,1
USA,United States of America,2020,1058559
GNB,Guinea-Bissau,2020,10
NZL,New Zealand,2020,10939
SEN,Senegal,2020,1076
DNK,Denmark,2020,11059
HRV,Croatia,2020,11135
NOR,Norway,2020,11538
COM,Comoros,2020,113
TUR,Türkiye,2020,115151
TON,Tonga,2020,12
FIN,Finland,2020,12283
IRQ,Iraq,2020,12807
FRA,France,2020,120293
BWA,Botswana,2020,122
ESP,Spain,2020,126115
BTN,Bhutan,2020,130
BRB,Barbados,2020,14
MNE,Montenegro,2020,1405
GBR,United Kingdom of Great Britain and Northern Ireland,2020,151873
GEO,Georgia,2020,16159
ITA,Italy,2020,187490
MEX,Mexico,2020,194894
FSM,Micronesia (Federated States of),2020,21
ISR,Israel,2020,21294
TCD,Chad,2020,219
BEL,Belgium,2020,22890
SWE,Sweden,2020,22903
CHE,Switzerland,2020,23028
HUN,Hungary,2020,24085
BGR,Bulgaria,2020,25482
AUT,Austria,2020,26158
PRT,Portugal,2020,27728
LKA,Sri Lanka,2020,2700
CHL,Chile,2020,28187
