gender,age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
남자,0~4,766227,711053,663673,623974,594599,578964,575930,585299,604754,627677,647854,664942,678800,689554,697580,703448,705569,702614,695649,685538,672886,660260,649704,640572,632088,623423,613797,602581,589369,574030,556707,537794,517876,497671,477947,459439,442791,428505,416906,408125,402108,398637,397357,397815,399515,401955,404659,407213,409285,410634,411110
남자,10~14,1189663,1176998,1167483,1164900,1138230,1094074,1036505,979031,903678,824719,759398,705847,658668,619656,590786,575418,572432,581677,600880,623487,643361,660191,673840,684434,692339,698119,700209,697302,690459,680510,668046,655611,645226,636242,627897,619374,609899,598859,585853,570750,553691,535069,515457,495564,476144,457920,441529,427467,416049,407409,401491
남자,100~,1139,1209,1153,1102,1064,1165,1321,1543,1689,1850,2157,2489,2889,3402,3910,4422,4920,5536,6058,6606,7635,8424,8474,8759,8608,10002,11199,12102,13087,13292,14893,16179,17421,20366,22331,24494,26953,29393,32549,35901,36592,38785,38359,39721,41059,42095,43535,46921,48935,51623,53284
남자,15~19,1183580,1188393,1171771,1167856,1187673,1194359,1181519,1171897,1169384,1142857,1098895,1041593,984416,909424,830862,765890,712625,665691,626885,598183,582928,579990,589219,608356,630873,650659,667414,681006,691554,699427,705182,707263,704363,697550,687646,675240,662865,652534,643597,635295,626812,617381,606389,593440,578402,561419,542878,523352,503547,484213,466071
남자,20~24,1620461,1548436,1486372,1390474,1303354,1268442,1263926,1243827,1240140,1259763,1266446,1253874,1244346,1241638,1215162,1171519,1114455,1057381,982659,904635,840228,787436,740904,702419,673963,658941,656237,665636,684794,707214,726872,743512,757003,767465,775274,780983,783035,780116,773281,763377,751022,738737,728498,719636,711396,702966,693580,682634,669740,654762,637852
남자,25~29,1933726,1915057,1878599,1841645,1792831,1715998,1630727,1558462,1462990,1375902,1340900,1336168,1315841,1312243,1332072,1338814,1326198,1316875,1314598,1288363,1244920,1188266,1131748,1057456,979575,915175,862384,815861,777406,748958,733821,730888,740049,759069,781458,801131,817798,831324,841829,849679,855423,857523,854687,847966,838171,825876,813608,803372,794518,786294,777892
남자,30~34,1796779,1883794,1938196,1969945,1996598,1976227,1940894,1897043,1860277,1811583,1734624,1649105,1576669,1481047,1393766,1358676,1354046,1333796,1330182,1350130,1357035,1344490,1335131,1332851,1306627,1263046,1206143,1149343,1074767,996582,931905,878887,832168,793541,764973,749798,746896,756135,775265,797782,817580,834353,847972,858552,866463,872261,874394,871556,864811,854976,842634
남자,35~39,1808706,1750443,1731341,1744455,1757521,1812587,1878096,1925620,1957721,1984633,1964550,1929436,1885768,1849160,1800636,1723814,1638375,1566000,1470477,1383248,1348176,1343620,1323474,1319914,1339935,1346952,1334502,1325189,1322948,1296784,1253220,1196294,1139448,1064824,986569,921814,868732,821959,783285,754684,739498,736612,745886,765067,787647,807511,824343,838016,848642,856595,862429
남자,40~44,2067075,2087030,2069513,1986113,1902383,1808708,1739757,1716248,1729692,1743081,1798310,1863987,1911735,1944070,1971204,1951455,1916627,1873224,1836849,1788569,1711992,1626759,1554540,1459209,1372105,1337075,1332594,1312568,1309078,1329174,1336314,1323982,1314743,1312583,1286521,1243021,1186132,1129291,1054675,976394,911590,858470,811667,772967,744345,729152,726273,735571,754794,777434,797363
남자,45~49,2061862,1995415,1947890,1968894,2013504,2063068,2081918,2061835,1979393,1896422,1803493,1735080,1711916,1725612,1739327,1794736,1860626,1908678,1941339,1968765,1949439,1914967,1871880,1835776,1787784,1711480,1626467,1554397,1459249,1372248,1337234,1332832,1312960,1309561,1329760,1337059,1324874,1315722,1313654,1287710,1244271,1187407,1130553,1055918,977569,912671,859472,812606,773852,745189,729974
남자,5~9,1097221,1039269,981805,906030,826640,760939,707080,659636,620392,591346,575885,572889,582186,601482,624199,644174,661092,674812,685459,693405,699213,701315,698391,691501,681493,668962,656461,646019,636986,628592,620019,610491,599391,586314,571128,553977,535253,515534,495533,476007,457687,441207,427068,415589,406901,400950,397517,396252,396711,398399,400814
남자,50~54,2258061,2281401,2252613,2207838,2123780,2051380,1988040,1938731,1960386,2005496,2055509,2074964,2055631,1974299,1892285,1800347,1732681,1710009,1724066,1738224,1793874,1860050,1908491,1941561,1969365,1950588,1916588,1873923,1838174,1790567,1714645,1629942,1558102,1463254,1376452,1341507,1337232,1317570,1314297,1334628,1342131,1330149,1321124,1319175,1293393,1250056,1193242,1136385,1061750,983347,918360
남자,55~59,2068112,2034448,2117431,2142637,2188632,2227167,2252857,2223514,2180559,2098765,2028252,1966668,1918930,1941301,1986938,2037425,2057586,2039197,1959359,1878693,1788170,1721609,1699657,1714199,1728930,1784855,1851303,1900136,1933624,1961813,1943710,1910347,1868279,1833061,1786023,1710673,1626465,1555020,1460680,1374280,1339520,1335455,1316099,1313006,1333496,1341260,1329554,1320705,1318919,1293369,1250206
남자,60~64,2042614,2101922,2082774,2062168,2015600,2017632,1987872,2068825,2095621,2142545,2181994,2208753,2181721,2140944,2062026,1993984,1934698,1889029,1912337,1958591,2009613,2030649,2013464,1935590,1856760,1768138,1703052,1682031,1697133,1712495,1768674,1835368,1884616,1918597,1947251,1929987,1897447,1856177,1821682,1775428,1700901,1617460,1546656,1453080,1367316,1332895,1329124,1310175,1307337,1328025,1336085
남자,65~69,1478069,1584823,1700794,1787365,1908010,1952534,2013313,1996070,1978807,1936757,1940864,1914703,1995240,2023603,2071435,2111774,2139662,2115526,2077570,2002416,1937678,1881510,1838655,1863239,1910236,1961797,1983747,1967920,1892490,1816092,1730115,1667187,1647545,1663427,1679608,1736045,1802858,1852420,1886870,1915980,1899747,1868346,1828216,1794759,1749638,1676342,1594088,1524299,1431960,1347321,1313530
남자,70~74,1012668,1045428,1087769,1185734,1294560,1376471,1479793,1590428,1675366,1792141,1836543,1896799,1882663,1869368,1833034,1839588,1818020,1897577,1927638,1976294,2017377,2046380,2025917,1991612,1921607,1861429,1809564,1770538,1796561,1844047,1895804,1918632,1904542,1832739,1760071,1678141,1618449,1600752,1617582,1634755,1691285,1757884,1807556,1842375,1871846,1857010,1827293,1788895,1757053,1713730,1642446
남자,75~79,696606,722713,768879,816937,857801,896044,930457,971590,1063624,1163525,1240661,1336884,1439376,1520904,1630904,1673737,1732040,1721137,1712838,1684391,1693680,1678484,1755670,1787369,1836375,1877423,1906931,1891191,1861346,1798475,1744735,1699158,1666003,1694098,1741921,1793417,1816803,1804505,1737978,1671084,1595708,1541339,1526776,1544868,1563326,1619532,1685166,1734400,1769262,1798788,1786042
남자,80~84,476263,510831,518803,531274,524559,548322,575242,614795,655862,687998,723126,754889,791760,872733,956862,1024437,1107398,1195011,1269016,1365896,1403862,1456926,1449276,1447410,1430227,1442176,1435689,1506670,1538666,1585814,1624485,1652829,1643836,1620651,1569428,1526231,1490850,1466989,1497394,1544174,1593368,1616174,1606014,1548599,1492065,1428791,1384158,1374921,1394534,1414603,1469152
남자,85~89,201240,217654,238467,256289,274135,303962,329987,336056,345016,340707,361388,383895,412447,442065,462419,490387,515690,544103,605934,666085,716999,778371,842304,900876,974713,1002876,1044593,1039451,1042995,1037628,1050129,1052363,1110003,1138850,1179264,1211120,1234632,1232564,1217476,1182513,1153922,1132554,1121030,1151516,1192949,1235057,1254502,1246566,1203605,1163470,1119392
남자,90~94,50323,54970,61639,71431,81638,91409,100949,111848,120909,130095,145902,159341,162045,166625,164251,177991,192193,207624,223631,232557,249743,265118,281713,318188,350585,379735,414161,449384,484911,527776,542548,567500,563982,569653,572077,581574,587845,624271,644078,670882,690661,705404,707685,700153,682386,668997,661147,660065,684538,713730,741977
남자,95~99,8291,8601,9811,10842,11940,13732,15666,17961,21013,24117,27126,30049,33511,36407,39397,44812,49214,49773,51227,50301,56175,61825,67068,72528,74720,81619,87561,93697,107705,118733,129354,141740,154204,168191,184306,188666,198254,196173,199849,203001,207349,211709,226966,235514,246956,254725,260581,262847,260265,254523,250925
여자,0~4,727814,676677,632988,595836,568470,553321,550381,559346,577900,599766,619015,635313,648527,658780,666430,672019,674037,671212,664565,654915,642842,630792,620717,612000,603899,595625,586434,575728,563121,548484,531955,513905,494901,475623,456804,439147,423264,409633,398565,390186,384444,381127,379902,380338,381960,384285,386861,389296,391270,392558,393012
