code,country,year,value
TCD,Chad,2022,1197
MUS,Mauritius,2022,1207
AUT,Austria,2022,13214
NAM,Namibia,2022,1336
IDN,Indonesia,2022,145493
BEN,Benin,2022,1753
COD,Democratic Republic of the Congo,2022,18493
GNQ,Equatorial Guinea,2022,182
CPV,Cabo Verde,2022,187
MOZ,Mozambique,2022,1933
ZWE,Zimbabwe,2022,2032
ISL,Iceland,2022,219
SAU,Saudi Arabia,2022,23804
BFA,Burkina Faso,2022,2372
CMR,Cameroon,2022,2467
ERI,Eritrea,2022,260
BTN,Bhutan,2022,263
LSO,Lesotho,2022,281
IRQ,Iraq,2022,29306
CHL,Chile,2022,29586
PER,Peru,2022,29900
GEO,Georgia,2022,3075
MNE,Montenegro,2022,315
NER,Niger,2022,316
TGO,Togo,2022,331
GHA,Ghana,2022,3344
SLE,Sierra Leone,2022,338
KEN,Kenya,2022,3544
MLI,Mali,2022,3557
GNB,Guinea-Bissau,2022,428
CIV,Cote d'Ivoire,2022,4412
OMN,Oman,2022,4657
ZMB,Zambia,2022,4709
AGO,Angola,2022,4778
ITA,Italy,2022,48137
CAN,Canada,2022,48199
SLV,El Salvador,2022,5202
GBR,United Kingdom of Great Britain and Northern Ireland,2022,54624
SYC,Seychelles,2022,57
URY,Uruguay,2022,6063
GAB,Gabon,2022,612
MRT,Mauritania,2022,616
SWZ,Eswatini,2022,623
UGA,Uganda,2022,6369
NZL,New Zealand,2022,6478
TZA,United Republic of Tanzania,2022,6701
SEN,Senegal,2022,703
COG,Congo,2022,787
CRI,Costa Rica,2022,7980
BRB,Barbados,2022,820
LBR,Liberia,2022,840
MWI,Malawi,2022,843
NGA,Nigeria,2022,85719
ETH,Ethiopia,2022,8860
BWA,Botswana,2022,899
ISR,Israel,2022,9624
BOL,Bolivia (Plurinational State of),2021,10089
ISR,Israel,2021,10471
CAF,Central African Republic,2021,108
IRL,Ireland,2021,11743
MEX,Mexico,2021,115004
EST,Estonia,2021,1156
NAM,Namibia,2021,1181
BFA,Burkina Faso,2021,1220
AUT,Austria,2021,13277
BEL,Belgium,2021,13952
USA,United States of America,2021,137648
IDN,Indonesia,2021,142060
LVA,Latvia,2021,1448
SVN,Slovenia,2021,1460
TGO,Togo,2021,149
ROU,Romania,2021,15147
GMB,Gambia,2021,156
COD,Democratic Republic of the Congo,2021,16989
MDA,Republic of Moldova,2021,1656
NPL,Nepal,2021,17190
LAO,Lao People's Democratic Republic,2021,1734
BEN,Benin,2021,1797
MOZ,Mozambique,2021,1807
SAU,Saudi Arabia,2021,21656
ISL,Iceland,2021,211
CMR,Cameroon,2021,2477
BTN,Bhutan,2021,266
IRQ,Iraq,2021,27017
ERI,Eritrea,2021,276
CHL,Chile,2021,28148
LTU,Lithuania,2021,2871
GEO,Georgia,2021,2894
PRT,Portugal,2021,30788
GHA,Ghana,2021,3034
NLD,Netherlands (Kingdom of the),2021,32047
MNE,Montenegro,2021,321
PAN,Panama,2021,3237
HRV,Croatia,2021,3245
KEN,Kenya,2021,3252
POL,Poland,2021,33409
SLV,El Salvador,2021,3416
KOR,Republic of Korea,2021,35914
PER,Peru,2021,36100
PNG,Papua New Guinea,2021,372
BGR,Bulgaria,2021,4104
ESP,Spain,2021,44762
GNB,Guinea-Bissau,2021,444
AUS,Australia,2021,45513
OMN,Oman,2021,4568
TKM,Turkmenistan,2021,4586
CIV,Cote d'Ivoire,2021,4623
CAN,Canada,2021,47337
ITA,Italy,2021,48579
SEN,Senegal,2021,487
GRC,Greece,2021,4947
GBR,United Kingdom of Great Britain and Northern Ireland,2021,54502
NOR,Norway,2021,5418
URY,Uruguay,2021,5816
MRT,Mauritania,2021,597
TUR,Türkiye,2021,60299
NZL,New Zealand,2021,6388
HUN,Hungary,2021,6488
TUN,Tunisia,2021,6794
BDI,Burundi,2021,725
SUR,Suriname,2021,734
TCD,Chad,2021,740
CRI,Costa Rica,2021,7484
CZE,Czechia,2021,7545
BRB,Barbados,2021,796
LBR,Liberia,2021,800
NGA,Nigeria,2021,84277
DEU,Germany,2021,86107
BWA,Botswana,2021,900
FRA,France,2021,93726
ETH,Ethiopia,2021,9361
COL,Colombia,2021,94890
LKA,Sri Lanka,2021,950
CHE,Switzerland,2021,9964
ISR,Israel,2020,10095
NAM,Namibia,2020,1036
EST,Estonia,2020,1084
BFA,Burkina Faso,2020,1088
TUV,Tuvalu,2020,11
MEX,Mexico,2020,112607
MDA,Republic of Moldova,2020,12516
SAU,Saudi Arabia,2020,12814
GMB,Gambia,2020,122
AUT,Austria,2020,13280
BEL,Belgium,2020,13697
USA,United States of America,2020,135708
SWZ,Eswatini,2020,136
IDN,Indonesia,2020,137920
LVA,Latvia,2020,1416
SVN,Slovenia,2020,1450
ROU,Romania,2020,15140
NPL,Nepal,2020,16499
GTM,Guatemala,2020,16587
CMR,Cameroon,2020,1643
MOZ,Mozambique,2020,1655
LAO,Lao People's Democratic Republic,2020,1912
ALB,Albania,2020,2081
ISL,Iceland,2020,216
IRQ,Iraq,2020,24586
COM,Comoros,2020,241
BTN,Bhutan,2020,244
CHL,Chile,2020,26009
PLW,Palau,2020,27
LTU,Lithuania,2020,2728
PRT,Portugal,2020,30098
SEN,Senegal,2020,308
PAN,Panama,2020,3083
NLD,Netherlands (Kingdom of the),2020,31208
HRV,Croatia,2020,3121
MNE,Montenegro,2020,316
POL,Poland,2020,32653
GEO,Georgia,2020,3277
KOR,Republic of Korea,2020,35449
TGO,Togo,2020,354
GNB,Guinea-Bissau,2020,375
SSD,South Sudan,2020,383
BGR,Bulgaria,2020,4174
ESP,Spain,2020,43302
AUS,Australia,2020,44781
CIV,Cote d'Ivoire,2020,4435
CAN,Canada,2020,46797
DNK,Denmark,2020,4638
TKM,Turkmenistan,2020,4667
OMN,Oman,2020,4732
GRC,Greece,2020,4769
ITA,Italy,2020,50354
SLE,Sierra Leone,2020,515
GBR,United Kingdom of Great Britain and Northern Ireland,2020,52034
GAB,Gabon,2020,526
NOR,Norway,2020,5310
MRT,Mauritania,2020,532
TUR,Türkiye,2020,56108
WSM,Samoa,2020,62
NZL,New Zealand,2020,6210
SWE,Sweden,2020,6305
MWI,Malawi,2020,639
HUN,Hungary,2020,6438
THA,Thailand,2020,66301
TUN,Tunisia,2020,6781
CZE,Czechia,2020,7112
BRB,Barbados,2020,723
LBR,Liberia,2020,725
CRI,Costa Rica,2020,7264
PRY,Paraguay,2020,7500
FIN,Finland,2020,7686
TCD,Chad,2020,784
BOL,Bolivia (Plurinational State of),2020,8051
LKA,Sri Lanka,2020,820
DEU,Germany,2020,85471
FSM,Micronesia (Federated States of),2020,87
TON,Tonga,2020,88
BWA,Botswana,2020,902
COL,Colombia,2020,91212
IRL,Ireland,2020,9360
ETH,Ethiopia,2020,9361
TLS,Timor-Leste,2020,937
FRA,France,2020,94000
CHE,Switzerland,2020,9848
ISR,Israel,2019,10035
BFA,Burkina Faso,2019,1026
GMB,Gambia,2019,107
TON,Tonga,2019,107
EST,Estonia,2019,1102
MEX,Mexico,2019,111536
BRA,Brazil,2019,118013
BEL,Belgium,2019,13425
AUT,Austria,2019,13581
USA,United States of America,2019,134878
BTN,Bhutan,2019,135
LVA,Latvia,2019,1369
SVN,Slovenia,2019,1414
ARM,Armenia,2019,1415
COD,Democratic Republic of the Congo,2019,15016
ROU,Romania,2019,15092
NPL,Nepal,2019,15388
MOZ,Mozambique,2019,1715
PAK,Pakistan,2019,194265
LAO,Lao People's Democratic Republic,2019,1955
ALB,Albania,2019,2016
BEN,Benin,2019,202
ISL,Iceland,2019,215
GHA,Ghana,2019,2181
IRQ,Iraq,2019,22732
CHL,Chile,2019,23838
TGO,Togo,2019,230
SLE,Sierra Leone,2019,231
DZA,Algeria,2019,27560
SSD,South Sudan,2019,274
LTU,Lithuania,2019,2883
PRT,Portugal,2019,29079
PAN,Panama,2019,2912
TKL,Tokelau,2019,3
NLD,Netherlands (Kingdom of the),2019,30107
EGY,Egypt,2019,31944
MNE,Montenegro,2019,310
POL,Poland,2019,33238
HRV,Croatia,2019,3389
KOR,Republic of Korea,2019,34736
SEN,Senegal,2019,353
BGR,Bulgaria,2019,4255
ESP,Spain,2019,43131
AUS,Australia,2019,43200
TKM,Turkmenistan,2019,4542
TTO,Trinidad and Tobago,2019,4595
CAN,Canada,2019,46132
DNK,Denmark,2019,4641
RUS,Russian Federation,2019,47573
GRC,Greece,2019,4732
MDA,Republic of Moldova,2019,4732
VUT,Vanuatu,2019,48
PNG,Papua New Guinea,2019,494
GBR,United Kingdom of Great Britain and Northern Ireland,2019,51096
GAB,Gabon,2019,516
NOR,Norway,2019,5162
TUR,Türkiye,2019,52280
ITA,Italy,2019,52555
OMN,Oman,2019,5245
MRT,Mauritania,2019,533
ETH,Ethiopia,2019,5867
IDN,Indonesia,2019,59988
MDV,Maldives,2019,597
SWE,Sweden,2019,6372
TCD,Chad,2019,642
DOM,Dominican Republic,2019,6601
CRI,Costa Rica,2019,6765
GEO,Georgia,2019,6772
NZL,New Zealand,2019,6821
LBR,Liberia,2019,697
HUN,Hungary,2019,7302
CZE,Czechia,2019,7330
TUN,Tunisia,2019,7701
FIN,Finland,2019,7742
LKA,Sri Lanka,2019,800
BWA,Botswana,2019,813
DEU,Germany,2019,82689
COL,Colombia,2019,87115
NAM,Namibia,2019,900
BOL,Bolivia (Plurinational State of),2019,9020
IRL,Ireland,2019,9039
FRA,France,2019,94433
TLS,Timor-Leste,2019,954
CHE,Switzerland,2019,9724
MEX,Mexico,2018,108167
EST,Estonia,2018,1097
AIA,Anguilla,2018,11
SAU,Saudi Arabia,2018,11692
RWA,Rwanda,2018,1114
MUS,Mauritius,2018,1188
JAM,Jamaica,2018,1198
SYC,Seychelles,2018,125
BEL,Belgium,2018,13178
COM,Comoros,2018,130
QAT,Qatar,2018,1305
NPL,Nepal,2018,14650
ROU,Romania,2018,14891
SVN,Slovenia,2018,1405
ARM,Armenia,2018,1410
LVA,Latvia,2018,1411
MLI,Mali,2018,1417
AUT,Austria,2018,15006
ERI,Eritrea,2018,160
CPV,Cabo Verde,2018,165
MOZ,Mozambique,2018,1695
GMB,Gambia,2018,181
ZWE,Zimbabwe,2018,1863
LKA,Sri Lanka,2018,19000
POL,Poland,2018,19810
LAO,Lao People's Democratic Republic,2018,1951
BTN,Bhutan,2018,210
SWZ,Eswatini,2018,211
NIC,Nicaragua,2018,2119
ISL,Iceland,2018,218
TGO,Togo,2018,219
CMR,Cameroon,2018,2400
TZA,United Republic of Tanzania,2018,2434
CHL,Chile,2018,25041
MWI,Malawi,2018,2582
CAF,Central African Republic,2018,263
GIN,Guinea,2018,2649
PAN,Panama,2018,2676
COG,Congo,2018,269
PRT,Portugal,2018,27664
NLD,Netherlands (Kingdom of the),2018,28729
LTU,Lithuania,2018,2884
ZAF,South Africa,2018,29311
AGO,Angola,2018,3043
DZA,Algeria,2018,32774
KOR,Republic of Korea,2018,33483
GHA,Ghana,2018,3316
MNE,Montenegro,2018,336
SSD,South Sudan,2018,338
BEN,Benin,2018,346
HRV,Croatia,2018,3507
LBN,Lebanon,2018,3744
AUS,Australia,2018,40825
ESP,Spain,2018,41727
CIV,Cote d'Ivoire,2018,4246
BGR,Bulgaria,2018,4322
GRC,Greece,2018,4390
TKM,Turkmenistan,2018,4617
DNK,Denmark,2018,4649
TTO,Trinidad and Tobago,2018,4694
RUS,Russian Federation,2018,47074
TUR,Türkiye,2018,48688
MRT,Mauritania,2018,487
GBR,United Kingdom of Great Britain and Northern Ireland,2018,49569
NOR,Norway,2018,4976
SLE,Sierra Leone,2018,500
MDV,Maldives,2018,515
ITA,Italy,2018,52998
GNB,Guinea-Bissau,2018,544
OMN,Oman,2018,5500
KEN,Kenya,2018,5602
GAB,Gabon,2018,570
ETH,Ethiopia,2018,5867
IDN,Indonesia,2018,59847
GEO,Georgia,2018,6155
CRI,Costa Rica,2018,6196
TCD,Chad,2018,646
SWE,Sweden,2018,6477
NZL,New Zealand,2018,6711
LBR,Liberia,2018,672
HUN,Hungary,2018,7096
NGA,Nigeria,2018,71508
BFA,Burkina Faso,2018,732
FIN,Finland,2018,7481
PSE,"occupied Palestinian territory, including east Jerusalem",2018,7507
DEU,Germany,2018,80778
NAM,Namibia,2018,806
BWA,Botswana,2018,807
LSO,Lesotho,2018,815
COL,Colombia,2018,82806
IRN,Iran (Islamic Republic of),2018,86300
TLS,Timor-Leste,2018,883
IRL,Ireland,2018,8965
FRA,France,2018,94139
CHE,Switzerland,2018,9683
ISR,Israel,2018,9804
EST,Estonia,2017,1059
MEX,Mexico,2017,107566
RWA,Rwanda,2017,1114
BEL,Belgium,2017,12992
AUT,Austria,2017,13745
SVN,Slovenia,2017,1400
LVA,Latvia,2017,1414
ARM,Armenia,2017,1438
ROU,Romania,2017,15020
POL,Poland,2017,15908
GMB,Gambia,2017,152
BRA,Brazil,2017,153832
HND,Honduras,2017,1548
MOZ,Mozambique,2017,1555
BTN,Bhutan,2017,167
LKA,Sri Lanka,2017,17375
ZWE,Zimbabwe,2017,1754
GHA,Ghana,2017,1757
ISL,Iceland,2017,209
CHL,Chile,2017,22993
TGO,Togo,2017,230
PAN,Panama,2017,2501
LAO,Lao People's Democratic Republic,2017,2591
PRT,Portugal,2017,27076
NLD,Netherlands (Kingdom of the),2017,27730
LTU,Lithuania,2017,2971
KOR,Republic of Korea,2017,32652
HRV,Croatia,2017,3321
ESP,Spain,2017,35378
AUS,Australia,2017,39971
BGR,Bulgaria,2017,4396
TKM,Turkmenistan,2017,4474
IDN,Indonesia,2017,45387
RUS,Russian Federation,2017,45975
DNK,Denmark,2017,4617
