code,country,year,value
AUS,Australia,2017,3800
AUS,Australia,2018,3958
AUS,Australia,2019,4022
AUS,Australia,2020,3839
AUS,Australia,2021,3945
AUS,Australia,2022,4068
AUT,Austria,2017,1248
AUT,Austria,2018,1346
AUT,Austria,2019,1242
AUT,Austria,2020,1288
AUT,Austria,2021,1455
AUT,Austria,2022,1466
BEL,Belgium,2017,1684
BEL,Belgium,2018,3282
BEL,Belgium,2019,2020
BEL,Belgium,2020,1917
BEL,Belgium,2021,1898
BEL,Belgium,2022,1833
CAN,Canada,2017,2811
CAN,Canada,2018,2863
CAN,Canada,2019,2856
CAN,Canada,2020,2876
CAN,Canada,2021,2861
CHE,Switzerland,2017,946
CHE,Switzerland,2018,995
CHE,Switzerland,2019,1017
CHE,Switzerland,2020,1115
CHE,Switzerland,2021,1089
CHE,Switzerland,2022,1164
CHL,Chile,2017,1597
CHL,Chile,2018,1637
CHL,Chile,2019,1745
CHL,Chile,2020,1768
CHL,Chile,2021,500
CHL,Chile,2022,2536
COL,Colombia,2017,5748
COL,Colombia,2018,6429
COL,Colombia,2019,6319
COL,Colombia,2020,5955
CZE,Czechia,2017,1815
CZE,Czechia,2018,1700
CZE,Czechia,2019,1718
CZE,Czechia,2020,1771
CZE,Czechia,2021,1790
CZE,Czechia,2022,1766
DEU,Germany,2017,9928
DEU,Germany,2018,9563
DEU,Germany,2019,10234
DEU,Germany,2020,10007
DEU,Germany,2021,10320
DEU,Germany,2022,10377
DNK,Denmark,2017,1281
DNK,Denmark,2018,1335
DNK,Denmark,2019,1234
DNK,Denmark,2020,1284
DNK,Denmark,2021,1267
ESP,Spain,2017,6749
ESP,Spain,2018,6664
ESP,Spain,2019,6574
ESP,Spain,2020,6600
ESP,Spain,2021,6718
ESP,Spain,2022,6326
EST,Estonia,2017,151
EST,Estonia,2018,136
EST,Estonia,2019,138
EST,Estonia,2020,138
EST,Estonia,2021,157
EST,Estonia,2022,164
FIN,Finland,2017,574
FIN,Finland,2018,645
FIN,Finland,2019,657
FIN,Finland,2020,674
FIN,Finland,2021,702
FIN,Finland,2022,729
FRA,France,2017,7252
FRA,France,2018,6387
FRA,France,2019,6708
FRA,France,2020,8069
FRA,France,2021,9795
GBR,United Kingdom,2017,8590
GBR,United Kingdom,2018,8570
GBR,United Kingdom,2019,8730
GBR,United Kingdom,2020,8750
GBR,United Kingdom,2021,8835
GBR,United Kingdom,2022,9140
GRC,Greece,2017,1334
GRC,Greece,2018,1344
GRC,Greece,2019,1449
GRC,Greece,2020,1465
GRC,Greece,2021,1403
HUN,Hungary,2017,1410
HUN,Hungary,2018,1560
HUN,Hungary,2019,1540
HUN,Hungary,2020,1532
HUN,Hungary,2021,1574
HUN,Hungary,2022,1629
IRL,Ireland,2017,1196
IRL,Ireland,2018,1254
IRL,Ireland,2019,1225
IRL,Ireland,2020,1268
IRL,Ireland,2021,1310
IRL,Ireland,2022,1325
ISL,Iceland,2017,50
ISL,Iceland,2018,48
ISL,Iceland,2019,41
ISL,Iceland,2020,49
ISL,Iceland,2021,51
ISR,Israel,2017,601
ISR,Israel,2018,658
ISR,Israel,2019,654
ISR,Israel,2020,639
ISR,Israel,2021,637
ISR,Israel,2022,690
ITA,Italy,2017,9120
ITA,Italy,2018,10129
ITA,Italy,2019,10511
ITA,Italy,2020,11213
ITA,Italy,2021,10788
ITA,Italy,2022,9827
JPN,Japan,2017,8673
JPN,Japan,2018,8751
JPN,Japan,2019,9003
JPN,Japan,2020,8757
JPN,Japan,2021,9013
JPN,Japan,2022,9095
KOR,Korea,2017,3898
KOR,Korea,2018,3860
KOR,Korea,2019,3827
KOR,Korea,2020,3742
KOR,Korea,2021,3757
KOR,Korea,2022,3910
LTU,Lithuania,2017,545
LTU,Lithuania,2018,554
LTU,Lithuania,2019,552
LTU,Lithuania,2020,571
LTU,Lithuania,2021,571
LTU,Lithuania,2022,601
LVA,Latvia,2017,337
LVA,Latvia,2018,428
LVA,Latvia,2019,450
LVA,Latvia,2020,454
LVA,Latvia,2021,515
LVA,Latvia,2022,517
MEX,Mexico,2017,16586
MEX,Mexico,2018,15346
MEX,Mexico,2019,17408
MEX,Mexico,2020,14838
