시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
서울,계,"27,244","5,057",596,"1,214","1,679","1,751",714,319,"1,315","1,594","1,627","1,510","1,200","1,190",968,738,"1,477",127,362,313,18,688,94,"2,055",490,103,45
서울,상급종합병원,"6,655","1,616",246,152,598,254,221,160,95,416,218,489,211,151,77,137,666,86,175,143,-,110,59,144,181,26,24
서울,종합병원,"3,715",882,149,74,288,261,137,58,47,208,189,169,99,87,40,94,275,26,72,79,-,67,26,120,237,20,11
서울,병원,"1,991",262,49,13,116,398,172,9,39,166,170,58,95,24,3,9,183,-,2,5,2,102,-,91,7,16,-
서울,요양병원,434,106,34,7,40,12,21,13,2,7,18,10,1,1,-,3,2,1,-,1,-,78,-,72,3,1,1
서울,정신병원,75,3,1,65,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,-,1
서울,의원,"14,128","2,164",114,900,624,811,158,75,"1,124",767,997,751,794,924,848,492,341,11,113,80,15,326,9,"1,582",61,40,7
서울,치과병원,14,1,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,137,19,1,-,4,-,1,3,2,15,24,31,-,2,-,1,1,1,-,4,-,-,-,27,-,-,1
서울,보건지소,5,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
서울,한방병원,90,3,2,3,8,15,4,-,3,4,11,2,-,1,-,2,8,2,-,-,-,5,-,16,1,-,-
부산,계,"7,347","1,551",169,318,533,572,229,92,172,391,467,465,317,329,166,190,310,26,78,71,3,176,19,528,117,47,11
부산,상급종합병원,887,224,36,18,80,35,35,37,16,39,30,36,36,29,13,23,58,13,17,20,-,17,10,24,24,12,5
부산,종합병원,"1,493",363,60,28,121,117,71,19,9,84,70,72,24,34,9,38,126,8,27,30,-,26,7,55,82,12,1
부산,병원,"1,045",197,23,1,85,171,53,1,1,70,104,114,30,2,-,2,80,2,2,2,1,54,-,43,1,5,1
부산,요양병원,539,104,12,2,76,38,17,5,1,12,54,32,1,10,-,9,-,1,3,-,-,37,-,124,1,-,-
부산,정신병원,82,1,-,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,의원,"3,241",658,37,188,165,207,53,29,144,184,199,202,226,250,144,118,42,2,28,18,2,41,2,273,9,18,2
부산,보건소,27,1,-,-,2,-,-,1,1,1,6,6,-,2,-,-,-,-,1,1,-,-,-,4,-,-,1
부산,보건지소,7,-,-,-,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
부산,한방병원,26,3,1,-,3,4,-,-,-,1,2,1,-,2,-,-,4,-,-,-,-,1,-,4,-,-,-
인천,계,"4,997",995,99,193,347,422,202,59,77,251,299,350,194,225,108,128,172,18,45,54,2,133,12,364,194,49,5
인천,상급종합병원,818,207,26,18,79,30,44,21,13,40,25,54,22,19,11,16,46,12,18,15,-,14,7,21,52,7,1
인천,종합병원,901,221,31,16,57,71,52,15,1,47,23,25,8,14,7,24,61,3,8,21,-,17,2,40,103,31,3
인천,병원,514,56,8,4,24,107,37,-,4,27,69,42,35,11,2,1,29,1,-,1,-,37,-,13,4,2,-
인천,요양병원,208,28,17,4,25,7,14,4,-,3,17,8,-,-,1,3,-,-,-,-,-,33,-,40,4,-,-
인천,정신병원,69,-,-,65,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
인천,의원,"2,435",481,17,86,148,201,52,18,57,131,156,217,129,181,87,83,35,2,19,17,2,31,3,242,30,9,1
인천,보건소,11,-,-,-,4,-,-,-,1,-,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
