,removed,observed,censored,entrance,at_risk,cumulative_survival_probability,ci_lower,ci_upper
0.0,0,0,0,241,241,1.0,1.0,1.0
1.0,102,102,0,0,241,0.5767634854771784,0.5117938697344357,0.6362679726491798
2.0,16,16,0,0,139,0.5103734439834023,0.4455840027556407,0.5714064106135628
3.0,17,17,0,0,123,0.43983402489626555,0.3764604523868042,0.5012996568549136
4.0,8,8,0,0,106,0.4066390041493778,0.3443749117640092,0.4678794485078051
5.0,9,9,0,0,98,0.36929460580912865,0.308632379227772,0.42994114353364016
6.0,6,6,0,0,89,0.3443983402489628,0.2850218507384144,0.4044399069180146
7.0,3,3,0,0,83,0.3319502074688796,0.2732849632540425,0.39162384890149887
8.0,7,7,0,0,80,0.30290456431535273,0.24608514352823935,0.3615419060772516
9.0,1,1,0,0,73,0.29875518672199175,0.2422215742844544,0.35722340587473767
10.0,8,6,2,0,72,0.2738589211618257,0.21916288122983668,0.33119571513742047
11.0,3,3,0,0,64,0.2610217842323652,0.20730811591939044,0.31775064363019756
12.0,3,3,0,0,61,0.24818464730290457,0.19551968746290432,0.3042437395237609
13.0,7,6,1,0,58,0.2225103734439835,0.1721549095689577,0.27703231158614394
14.0,1,1,0,0,51,0.21814742494508185,0.16820233705835003,0.27239443438371125
16.0,3,3,0,0,50,0.2050585794483769,0.15640240030966257,0.2584274840240359
17.0,3,1,2,0,47,0.20069563094947532,0.15248902086236693,0.2537534384457062
18.0,4,0,4,0,44,0.20069563094947532,0.15248902086236693,0.2537534384457062
19.0,2,1,1,0,40,0.19567824017573843,0.147893576760261,0.2484984572244271
20.0,3,0,3,0,38,0.19567824017573843,0.147893576760261,0.2484984572244271
21.0,4,2,2,0,35,0.18449662645141054,0.13751688928096656,0.23698184004866313
22.0,3,3,0,0,31,0.16664211421417724,0.12100573816065129,0.2186274341428165
23.0,1,1,0,0,28,0.16069061013509953,0.11558330237434615,0.21243952029002686
24.0,2,1,1,0,27,0.15473910605602176,0.11020288245825903,0.20621543073293866
25.0,3,2,1,0,25,0.14235997757154004,0.09905987452595118,0.19327524716424493
26.0,1,1,0,0,22,0.13588906950010637,0.09326087979413504,0.18652121056505366
27.0,1,1,0,0,21,0.1294181614286727,0.08752740497008012,0.1797110584007214
28.0,2,2,0,0,20,0.11647634528580544,0.07626581230255249,0.16591449228761132
29.0,1,1,0,0,18,0.11000543721437184,0.07074309595619255,0.15892324765833893
30.0,1,1,0,0,17,0.10353452914293819,0.06529683949951072,0.15186611081009674
31.0,3,1,2,0,16,0.09706362107150455,0.059931088670107824,0.14473950607862723
32.0,1,0,1,0,13,0.09706362107150455,0.059931088670107824,0.14473950607862723
36.0,3,1,2,0,12,0.08897498598221251,0.05294294090922597,0.1364258526389835
37.0,1,0,1,0,9,0.08897498598221251,0.05294294090922597,0.1364258526389835
40.0,3,0,3,0,8,0.08897498598221251,0.05294294090922597,0.1364258526389835
44.0,1,0,1,0,5,0.08897498598221251,0.05294294090922597,0.1364258526389835
55.0,1,0,1,0,4,0.08897498598221251,0.05294294090922597,0.1364258526389835
57.0,1,0,1,0,3,0.08897498598221251,0.05294294090922597,0.1364258526389835
60.0,1,0,1,0,2,0.08897498598221251,0.05294294090922597,0.1364258526389835
74.0,1,0,1,0,1,0.08897498598221251,0.05294294090922597,0.1364258526389835
