,removed,observed,censored,entrance,at_risk,cumulative_survival_probability,ci_lower,ci_upper
0.0,0,0,0,84,84,1.0,1.0,1.0
1.0,47,47,0,0,84,0.4404761904761905,0.33284143757885354,0.542768433748979
2.0,12,12,0,0,37,0.2976190476190476,0.20406825742480955,0.396856468204858
3.0,9,9,0,0,25,0.1904761904761905,0.11495058814008038,0.28052163473471964
4.0,4,4,0,0,16,0.1428571428571429,0.07831524899549444,0.22612452397907418
5.0,3,3,0,0,12,0.10714285714285719,0.05261956770571594,0.18374123705651987
6.0,2,2,0,0,9,0.08333333333333337,0.03667188042711514,0.15444953332813569
7.0,1,1,0,0,7,0.07142857142857148,0.029171584277980767,0.13939610741547515
8.0,1,1,0,0,6,0.05952380952380955,0.02207399516421618,0.12400323914282138
10.0,1,1,0,0,5,0.04761904761904764,0.015480999840541975,0.10819709726480714
11.0,1,1,0,0,4,0.03571428571428573,0.009551009194788561,0.09187750360292496
12.0,1,1,0,0,3,0.02380952380952382,0.004555345742853893,0.07493230809258308
19.0,1,1,0,0,2,0.011904761904761908,0.0010304620466234423,0.05758790619536917
21.0,1,1,0,0,1,0.0,0.0,0.0
