,removed,observed,censored,entrance,at_risk,survival_probability,ci_lower,ci_upper
0.0,0,0,0,245,245,1.0,1.0,1.0
1.0,104,104,0,0,245,0.5755102040816324,0.511085524315509,0.6345897185262109
2.0,17,17,0,0,141,0.5061224489795917,0.441924466870752,0.5667331709192088
3.0,17,17,0,0,124,0.43673469387755065,0.3739743337633031,0.49769852386279795
4.0,8,8,0,0,107,0.404081632653061,0.34242405902881184,0.46479925287907203
5.0,9,9,0,0,99,0.36734693877551006,0.30727053165017165,0.427459675587829
6.0,6,6,0,0,90,0.34285714285714264,0.2840446095134753,0.402365309520379
7.0,3,3,0,0,84,0.33061224489795915,0.2724974889705799,0.38975510416173653
8.0,7,7,0,0,81,0.3020408163265306,0.24573349591046512,0.3601600948526687
9.0,2,2,0,0,74,0.293877551020408,0.23813471545089768,0.35165855822186953
10.0,8,8,0,0,72,0.26122448979591817,0.2079683934725362,0.31743493773259773
11.0,3,3,0,0,64,0.24897959183673463,0.19675622642319215,0.30450604128174064
12.0,3,3,0,0,61,0.23673469387755086,0.18560274956110262,0.2915216104539277
13.0,7,7,0,0,58,0.20816326530612236,0.15982447770655148,0.26099189656348487
14.0,1,1,0,0,51,0.20408163265306112,0.15617211078546986,0.25660201567447877
16.0,3,3,0,0,50,0.19183673469387744,0.14526404313160965,0.2433862728129715
17.0,3,3,0,0,47,0.17959183673469378,0.13443369429184351,0.23009756234852677
18.0,4,4,0,0,44,0.1632653061224489,0.12012488811501179,0.21225592868409063
19.0,2,2,0,0,40,0.15510204081632645,0.1130318300461631,0.20327774901313578
20.0,3,3,0,0,38,0.14285714285714277,0.10247629604038253,0.189732045284889
21.0,4,4,0,0,35,0.12653061224489792,0.08857618178520878,0.17150917189894785
22.0,3,3,0,0,31,0.11428571428571423,0.07829915101767988,0.1577045493679384
23.0,1,1,0,0,28,0.11020408163265302,0.07490498030053303,0.15307382402677763
24.0,2,2,0,0,27,0.10204081632653055,0.06816846296460466,0.14376446308039711
25.0,3,3,0,0,25,0.08979591836734692,0.0582072665000393,0.12966798723394804
26.0,1,1,0,0,22,0.08571428571428567,0.05492959773082482,0.12492984575950498
27.0,1,1,0,0,21,0.08163265306122444,0.05167551283558173,0.12017005418256252
28.0,2,2,0,0,20,0.07346938775510199,0.04524458055536858,0.11057972019154115
29.0,1,1,0,0,18,0.06938775510204079,0.04207151389252464,0.10574580807740513
30.0,1,1,0,0,17,0.06530612244897956,0.03892967771245583,0.10088343448160791
31.0,3,3,0,0,16,0.053061224489795895,0.029720171712773674,0.08610032742157485
32.0,1,1,0,0,13,0.04897959183673468,0.026734437565186495,0.08109672378866611
36.0,3,3,0,0,12,0.03673469387755101,0.01810277099873536,0.0657953139356509
37.0,1,1,0,0,9,0.03265306122448978,0.015360210843694244,0.06057607045280316
40.0,3,3,0,0,8,0.020408163265306117,0.007722264255881053,0.04441499498967434
44.0,1,1,0,0,5,0.016326530612244892,0.005454594329841351,0.038802401342981595
55.0,1,1,0,0,4,0.012244897959183673,0.003400007853877179,0.03303580799357228
57.0,1,1,0,0,3,0.008163265306122446,0.0016502088118011805,0.027097525668630357
60.0,1,1,0,0,2,0.004081632653061223,0.0003897181679811209,0.021168863246662162
74.0,1,1,0,0,1,0.0,0.0,0.0
