Name,District_Code,Avg_Stay_Duration
Bukchon Hanok Village,1117010200,5899
Namsan Seoul Tower,1111011900,5301
Gyeongbokgung Palace,1156011000,13844
63 Square,1111014800,5420
Changdeokgung Palace,1111013000,5569
Changgyeonggung Palace,1111013000,5569
National Museum of Korea,1117013500,7711
Culture Station Seoul 284,1114012000,4288
War Memorial of Korea,1117010600,6121
Yongsan Family Park,1117013500,5796
Seoul Plaza,1114010300,4495
Seodaemun Prison History Museum,1141010900,5090
Gwanghwamun Square,1111011900,4368
Bosingak Belfry,1111013500,4191
Heunginjimun Gate,1111016400,6396
Deoksugung Palace,1111011900,4368
Samcheong-dong Alley,1111014600,5707
Bangi-dong Baekje Tombs,1171011100,7799
Myeongdong Cathedral,1114012700,4126
Hwangudan Altar,1114011100,5460
The Blue House,1111011900,4368
National Assembly Building,1156011000,11199
National Library of Korea,1165010700,7683
Bukak Skyway Octagonal Pavilion,1111018300,7363
Banpo Bridge Night View,1165010700,7683
Lotte World Tower,1171010200,6868
Sungnyemun Gate,1114011700,7213
Seoullo 7017,1114012000,5367
Deoksugung Stonewall Walkway,1114016700,5147
Dongdaemun Design Plaza (DDP),1114014900,4435
Starfield Library,1168010500,10090
Namdaemun Market Tourist Information Center,1114011200,4918
Ikseon-dong Hanok Street,1111013300,4397
