ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
0.5,2.5,2.5,486,0.1,144,2752.286666666667,64
0.5,2.5,2.5,486,0.2,144,2752.286666666667,64
0.5,2.5,2.5,486,0.30000000000000004,144,2752.286666666667,64
0.5,2.5,2.5,486,0.4,144,2752.286666666667,64
0.5,2.5,2.5,486,0.5,144,2752.286666666667,64
0.5,2.5,2.5,486,0.6,144,2752.286666666667,64
0.5,2.5,2.5,486,0.7000000000000001,144,2752.286666666667,64
0.5,2.5,2.5,486,0.8,144,2752.286666666667,64
0.5,2.5,2.5,486,0.9,144,2752.286666666667,64
0.5,2.5,2.5,487,0.1,145,2758.92,65
0.5,2.5,2.5,487,0.2,145,2758.92,65
0.5,2.5,2.5,487,0.30000000000000004,145,2758.92,65
0.5,2.5,2.5,487,0.4,145,2758.92,65
0.5,2.5,2.5,487,0.5,145,2758.92,65
0.5,2.5,2.5,487,0.6,145,2758.92,65
0.5,2.5,2.5,487,0.7000000000000001,145,2758.92,65
0.5,2.5,2.5,487,0.8,145,2758.92,65
0.5,2.5,2.5,487,0.9,145,2758.92,65
0.5,2.5,2.5,488,0.1,145,2998.16,72
0.5,2.5,2.5,488,0.2,145,2998.16,72
0.5,2.5,2.5,488,0.30000000000000004,145,2998.16,72
0.5,2.5,2.5,488,0.4,145,2998.16,72
0.5,2.5,2.5,488,0.5,145,2998.16,72
0.5,2.5,2.5,488,0.6,145,2998.16,72
0.5,2.5,2.5,488,0.7000000000000001,145,2998.16,72
0.5,2.5,2.5,488,0.8,145,2998.16,72
0.5,2.5,2.5,488,0.9,145,2998.16,72
0.5,2.5,2.5,489,0.1,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.2,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.30000000000000004,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.4,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.5,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.6,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.7000000000000001,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.8,144,2866.3133333333335,69
0.5,2.5,2.5,489,0.9,144,2866.3133333333335,69
0.5,2.5,2.5,490,0.1,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.2,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.30000000000000004,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.4,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.5,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.6,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.7000000000000001,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.8,144,2881.0533333333333,73
0.5,2.5,2.5,490,0.9,144,2881.0533333333333,73
0.5,2.5,2.5,491,0.1,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.2,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.30000000000000004,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.4,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.5,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.6,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.7000000000000001,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.8,145,2990.3866666666668,75
0.5,2.5,2.5,491,0.9,145,2990.3866666666668,75
0.5,2.5,2.5,492,0.1,145,2911.12,74
0.5,2.5,2.5,492,0.2,145,2911.12,74
0.5,2.5,2.5,492,0.30000000000000004,145,2911.12,74
0.5,2.5,2.5,492,0.4,145,2911.12,74
0.5,2.5,2.5,492,0.5,145,2911.12,74
0.5,2.5,2.5,492,0.6,145,2911.12,74
0.5,2.5,2.5,492,0.7000000000000001,145,2911.12,74
0.5,2.5,2.5,492,0.8,145,2911.0066666666667,74
0.5,2.5,2.5,492,0.9,145,2911.0066666666667,74
0.5,2.5,2.5,493,0.1,145,2895.76,73
0.5,2.5,2.5,493,0.2,145,2895.76,73
0.5,2.5,2.5,493,0.30000000000000004,145,2895.76,73
0.5,2.5,2.5,493,0.4,145,2895.76,73
0.5,2.5,2.5,493,0.5,145,2895.76,73
0.5,2.5,2.5,493,0.6,145,2895.76,73
0.5,2.5,2.5,493,0.7000000000000001,145,2895.76,73
0.5,2.5,2.5,493,0.8,145,2976.5,75
0.5,2.5,2.5,493,0.9,145,2936.16,74
0.5,2.5,2.5,494,0.1,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.2,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.30000000000000004,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.4,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.5,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.6,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.7000000000000001,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.8,144,2753.5733333333333,67
0.5,2.5,2.5,494,0.9,145,2753.2533333333336,67
0.5,2.5,2.5,495,0.1,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.2,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.30000000000000004,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.4,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.5,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.6,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.7000000000000001,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.8,144,2800.4466666666667,66
0.5,2.5,2.5,495,0.9,144,2800.4466666666667,66
0.5,2.5,10.0,486,0.1,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.2,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.30000000000000004,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.4,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.5,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.6,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.7000000000000001,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.8,144,2641.0866666666666,64
0.5,2.5,10.0,486,0.9,144,2641.0866666666666,64
0.5,2.5,10.0,487,0.1,145,2592.12,64
0.5,2.5,10.0,487,0.2,145,2592.12,64
0.5,2.5,10.0,487,0.30000000000000004,145,2592.12,64
0.5,2.5,10.0,487,0.4,145,2592.12,64
0.5,2.5,10.0,487,0.5,145,2592.12,64
0.5,2.5,10.0,487,0.6,145,2592.12,64
0.5,2.5,10.0,487,0.7000000000000001,145,2592.12,64
0.5,2.5,10.0,487,0.8,145,2592.12,64
0.5,2.5,10.0,487,0.9,145,2592.12,64
0.5,2.5,10.0,488,0.1,145,2888.56,63
0.5,2.5,10.0,488,0.2,145,2888.56,63
0.5,2.5,10.0,488,0.30000000000000004,145,2888.56,63
0.5,2.5,10.0,488,0.4,145,2888.56,63
0.5,2.5,10.0,488,0.5,145,2888.56,63
0.5,2.5,10.0,488,0.6,145,2888.56,63
0.5,2.5,10.0,488,0.7000000000000001,145,2888.56,63
