NUM OF LOT PER PRODUCT,ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
2,0.05,0.1,0.05,486,0.1,4,66.0,1
2,0.05,0.1,0.05,486,0.2,4,66.0,1
2,0.05,0.1,0.05,486,0.30000000000000004,4,66.0,1
2,0.05,0.1,0.05,486,0.4,4,66.0,1
2,0.05,0.1,0.05,486,0.5,4,66.0,1
2,0.05,0.1,0.05,486,0.6,4,66.0,1
2,0.05,0.1,0.05,486,0.7000000000000001,4,66.0,1
2,0.05,0.1,0.05,486,0.8,4,66.0,1
2,0.05,0.1,0.05,486,0.9,4,66.0,1
5,0.05,0.1,0.05,486,0.1,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.2,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.30000000000000004,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.4,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.5,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.6,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.7000000000000001,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.8,13,241.53333333333333,6
5,0.05,0.1,0.05,486,0.9,13,241.53333333333333,6
