NUM OF LOT PER PRODUCT,ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
5,0.5,2.5,2.5,486,0.1,0,0.0,0
5,0.5,2.5,2.5,486,0.2,0,0.0,0
5,0.5,2.5,2.5,486,0.30000000000000004,0,0.0,0
5,0.5,2.5,2.5,486,0.4,0,0.0,0
5,0.5,2.5,2.5,486,0.5,0,0.0,0
5,0.5,2.5,2.5,486,0.6,0,0.0,0
5,0.5,2.5,2.5,486,0.7000000000000001,1,2.466666666666667,1
5,0.5,2.5,2.5,486,0.8,1,2.466666666666667,1
5,0.5,2.5,2.5,486,0.9,0,0.0,1
5,0.5,2.5,2.5,487,0.1,1,7.4,0
5,0.5,2.5,2.5,487,0.2,2,8.466666666666667,1
5,0.5,2.5,2.5,487,0.30000000000000004,2,8.466666666666667,1
5,0.5,2.5,2.5,487,0.4,1,5.066666666666666,1
5,0.5,2.5,2.5,487,0.5,1,5.066666666666666,1
5,0.5,2.5,2.5,487,0.6,1,5.066666666666666,1
5,0.5,2.5,2.5,487,0.7000000000000001,1,1.0666666666666667,2
5,0.5,2.5,2.5,487,0.8,1,1.0666666666666667,2
5,0.5,2.5,2.5,487,0.9,1,1.0666666666666667,2
5,0.5,2.5,2.5,488,0.1,3,38.333333333333336,0
5,0.5,2.5,2.5,488,0.2,3,34.333333333333336,0
5,0.5,2.5,2.5,488,0.30000000000000004,3,22.333333333333332,0
5,0.5,2.5,2.5,488,0.4,3,18.333333333333332,0
5,0.5,2.5,2.5,488,0.5,2,3.2666666666666666,1
5,0.5,2.5,2.5,488,0.6,1,2.933333333333333,1
5,0.5,2.5,2.5,488,0.7000000000000001,0,0.0,2
5,0.5,2.5,2.5,488,0.8,0,0.0,2
5,0.5,2.5,2.5,488,0.9,0,0.0,2
5,0.5,2.5,2.5,489,0.1,0,0.0,0
5,0.5,2.5,2.5,489,0.2,0,0.0,0
5,0.5,2.5,2.5,489,0.30000000000000004,0,0.0,0
5,0.5,2.5,2.5,489,0.4,0,0.0,0
5,0.5,2.5,2.5,489,0.5,0,0.0,0
5,0.5,2.5,2.5,489,0.6,0,0.0,0
5,0.5,2.5,2.5,489,0.7000000000000001,0,0.0,0
5,0.5,2.5,2.5,489,0.8,0,0.0,0
5,0.5,2.5,2.5,489,0.9,0,0.0,0
5,0.5,2.5,2.5,490,0.1,0,0.0,0
5,0.5,2.5,2.5,490,0.2,0,0.0,0
5,0.5,2.5,2.5,490,0.30000000000000004,1,3.466666666666667,1
5,0.5,2.5,2.5,490,0.4,1,3.466666666666667,1
5,0.5,2.5,2.5,490,0.5,0,0.0,2
5,0.5,2.5,2.5,490,0.6,0,0.0,2
5,0.5,2.5,2.5,490,0.7000000000000001,0,0.0,2
5,0.5,2.5,2.5,490,0.8,0,0.0,4
5,0.5,2.5,2.5,490,0.9,0,0.0,4
5,0.5,2.5,2.5,491,0.1,2,5.533333333333333,1
5,0.5,2.5,2.5,491,0.2,2,5.533333333333333,1
5,0.5,2.5,2.5,491,0.30000000000000004,0,0.0,2
5,0.5,2.5,2.5,491,0.4,0,0.0,2
5,0.5,2.5,2.5,491,0.5,0,0.0,2
5,0.5,2.5,2.5,491,0.6,0,0.0,2
5,0.5,2.5,2.5,491,0.7000000000000001,0,0.0,2
5,0.5,2.5,2.5,491,0.8,0,0.0,2
5,0.5,2.5,2.5,491,0.9,0,0.0,3
5,0.5,2.5,2.5,492,0.1,2,6.2,1
5,0.5,2.5,2.5,492,0.2,2,6.2,1
5,0.5,2.5,2.5,492,0.30000000000000004,1,2.6666666666666665,1
5,0.5,2.5,2.5,492,0.4,1,2.6666666666666665,1
5,0.5,2.5,2.5,492,0.5,0,0.0,1
5,0.5,2.5,2.5,492,0.6,0,0.0,3
5,0.5,2.5,2.5,492,0.7000000000000001,0,0.0,3
5,0.5,2.5,2.5,492,0.8,0,0.0,3
5,0.5,2.5,2.5,492,0.9,0,0.0,4
5,0.5,2.5,2.5,493,0.1,0,0.0,0
5,0.5,2.5,2.5,493,0.2,0,0.0,0
5,0.5,2.5,2.5,493,0.30000000000000004,0,0.0,0
5,0.5,2.5,2.5,493,0.4,0,0.0,0
5,0.5,2.5,2.5,493,0.5,0,0.0,0
5,0.5,2.5,2.5,493,0.6,0,0.0,0
5,0.5,2.5,2.5,493,0.7000000000000001,0,0.0,0
5,0.5,2.5,2.5,493,0.8,0,0.0,0
5,0.5,2.5,2.5,493,0.9,0,0.0,1
5,0.5,2.5,2.5,494,0.1,1,5.933333333333334,0
5,0.5,2.5,2.5,494,0.2,1,5.933333333333334,0
5,0.5,2.5,2.5,494,0.30000000000000004,0,0.0,0
5,0.5,2.5,2.5,494,0.4,0,0.0,0
5,0.5,2.5,2.5,494,0.5,0,0.0,1
5,0.5,2.5,2.5,494,0.6,0,0.0,2
5,0.5,2.5,2.5,494,0.7000000000000001,1,4.0,2
5,0.5,2.5,2.5,494,0.8,1,4.0,3
5,0.5,2.5,2.5,494,0.9,1,4.0,3
5,0.5,2.5,2.5,495,0.1,0,0.0,0
5,0.5,2.5,2.5,495,0.2,0,0.0,0
5,0.5,2.5,2.5,495,0.30000000000000004,0,0.0,0
5,0.5,2.5,2.5,495,0.4,0,0.0,1
5,0.5,2.5,2.5,495,0.5,0,0.0,1
5,0.5,2.5,2.5,495,0.6,0,0.0,1
5,0.5,2.5,2.5,495,0.7000000000000001,0,0.0,1
5,0.5,2.5,2.5,495,0.8,0,0.0,1
5,0.5,2.5,2.5,495,0.9,0,0.0,1
10,0.5,5.0,5.0,486,0.1,10,41.733333333333334,0
10,0.5,5.0,5.0,486,0.2,9,31.866666666666667,0
10,0.5,5.0,5.0,486,0.30000000000000004,9,27.866666666666667,0
10,0.5,5.0,5.0,486,0.4,7,20.3,0
10,0.5,5.0,5.0,486,0.5,5,9.466666666666667,0
10,0.5,5.0,5.0,486,0.6,1,0.6666666666666666,2
10,0.5,5.0,5.0,486,0.7000000000000001,1,6.233333333333333,3
