NUM OF LOT PER PRODUCT,ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
5,0.5,2.5,2.5,486,0.1,0,0.0,1
5,0.5,2.5,2.5,487,0.1,1,1.0666666666666667,3
5,0.5,2.5,2.5,488,0.1,0,0.0,2
5,0.5,2.5,2.5,489,0.1,0,0.0,0
5,0.5,2.5,2.5,490,0.1,0,0.0,4
5,0.5,2.5,2.5,491,0.1,0,0.0,3
5,0.5,2.5,2.5,492,0.1,0,0.0,4
5,0.5,2.5,2.5,493,0.1,0,0.0,2
5,0.5,2.5,2.5,494,0.1,1,4.0,3
5,0.5,2.5,2.5,495,0.1,0,0.0,1
10,0.5,5.0,5.0,486,0.1,0,0.0,7
10,0.5,5.0,5.0,487,0.1,0,0.0,4
10,0.5,5.0,5.0,488,0.1,0,0.0,3
10,0.5,5.0,5.0,489,0.1,0,0.0,8
10,0.5,5.0,5.0,490,0.1,2,16.166666666666668,11
10,0.5,5.0,5.0,491,0.1,3,4.1,7
10,0.5,5.0,5.0,492,0.1,1,1.9,4
10,0.5,5.0,5.0,493,0.1,0,0.0,10
10,0.5,5.0,5.0,494,0.1,1,6.3,4
10,0.5,5.0,5.0,495,0.1,0,0.0,9
15,0.5,7.5,7.5,486,0.1,9,37.91111111111111,12
15,0.5,7.5,7.5,487,0.1,0,0.0,6
15,0.5,7.5,7.5,488,0.1,8,24.711111111111112,11
15,0.5,7.5,7.5,489,0.1,0,0.0,7
15,0.5,7.5,7.5,490,0.1,3,24.77777777777778,13
15,0.5,7.5,7.5,491,0.1,3,42.48888888888889,6
15,0.5,7.5,7.5,492,0.1,5,24.711111111111112,13
15,0.5,7.5,7.5,493,0.1,1,0.7111111111111111,15
15,0.5,7.5,7.5,494,0.1,1,2.022222222222222,9
15,0.5,7.5,7.5,495,0.1,0,0.0,10
20,0.5,10.0,10.0,486,0.1,7,27.416666666666668,17
20,0.5,10.0,10.0,487,0.1,2,5.9,18
20,0.5,10.0,10.0,488,0.1,3,0.7,8
20,0.5,10.0,10.0,489,0.1,0,0.0,20
20,0.5,10.0,10.0,490,0.1,0,0.0,6
20,0.5,10.0,10.0,491,0.1,9,30.533333333333335,13
20,0.5,10.0,10.0,492,0.1,6,51.75,16
20,0.5,10.0,10.0,493,0.1,3,7.683333333333334,18
20,0.5,10.0,10.0,494,0.1,4,26.85,13
20,0.5,10.0,10.0,495,0.1,7,27.766666666666666,19
30,0.5,15.0,15.0,486,0.1,8,38.74444444444445,23
30,0.5,15.0,15.0,487,0.1,8,44.93333333333333,29
30,0.5,15.0,15.0,488,0.1,8,37.65555555555556,19
30,0.5,15.0,15.0,489,0.1,6,14.233333333333333,28
30,0.5,15.0,15.0,490,0.1,7,27.355555555555554,27
30,0.5,15.0,15.0,491,0.1,6,12.055555555555555,15
30,0.5,15.0,15.0,492,0.1,9,51.13333333333333,22
30,0.5,15.0,15.0,493,0.1,0,0.0,19
30,0.5,15.0,15.0,494,0.1,16,47.13333333333333,38
30,0.5,15.0,15.0,495,0.1,14,67.84444444444445,35
